"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","146","3.051","23.3","19.2","23.3","14.4","19.2","0.7",".",".",".",".",".",".",".",".",".","."
"","300
002","227","3.031","23.8","19.4","22.0","11.5","21.1","0.4","0.9","0.9",".",".",".",".",".",".",".","."
"","300
003","83","3.108","27.7","15.7","27.7","10.8","16.9","1.2",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","456","3.052","24.3","18.6","23.5","12.3","19.7","0.7","0.4","0.4",".",".",".",".",".",".",".","."
"","305
001","39","3.603","59.0","20.5","12.8","2.6","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"","305
002","69","3.623","55.1","21.7","17.4","4.3","1.4",".",".",".",".",".",".",".",".",".",".","."
"","305
003","27","3.685","59.3","29.6","3.7","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","135","3.630","57.0","23.0","13.3","3.7","2.2","0.7",".",".",".",".",".",".",".",".",".","."
"","320
001","18","3.333","22.2","38.9","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","320
002","59","3.297","27.1","33.9","16.9","15.3","6.8",".",".",".",".",".",".",".",".",".",".","."
"","320
003","56","3.455","35.7","33.9","17.9","10.7","1.8",".",".",".",".",".",".",".",".",".",".","."
"","320
004","55","3.591","45.5","38.2","7.3","7.3","1.8",".",".",".",".",".",".",".",".",".",".","."
"","320
005","58","3.325","29.3","24.1","34.5","1.7","8.6",".",".",".",".",".",".",".","1.7",".",".","."
"","320
006","53","3.330","28.3","18.9","47.2","1.9","3.8",".",".",".",".",".",".",".",".",".",".","."
"","320
007","19","3.167","21.1","26.3","36.8","5.3",".",".","5.3","5.3",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","318","3.381","31.8","30.2","25.5","7.2","4.4",".","0.3","0.3",".",".",".",".","0.3",".",".","."
"","325
001","36","3.569","47.2","33.3","8.3","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"","325
002","55","3.482","36.4","27.3","32.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","36","3.357","25.0","41.7","11.1","16.7","2.8",".",".",".",".",".",".",".",".","2.8",".","."
"","325
004","58","3.328","37.9","20.7","24.1","3.4","13.8",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","185","3.427","36.8","29.2","21.1","7.0","5.4",".",".",".",".",".",".",".",".","0.5",".","."
"","330
001","38","3.303","23.7","42.1","13.2","13.2","7.9",".",".",".",".",".",".",".",".",".",".","."
"","330
002","50","3.280","34.0","22.0","22.0","10.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","330
003","29","3.179","27.6","27.6","10.3","13.8","17.2",".",".",".",".",".",".",".",".","3.4",".","."
"","330
004","38","3.382","36.8","28.9","15.8","10.5","7.9",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","155","3.292","31.0","29.7","16.1","11.6","11.0",".",".",".",".",".",".",".",".","0.6",".","."
"","365
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","38","3.828","68.4","28.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","54","3.651","55.6","22.2","16.7","1.9","1.9",".",".",".",".",".",".",".",".","1.9",".","."
"","420
001","34","3.471","32.4","47.1","17.6",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"","420
002","27","3.519","37.0","25.9","33.3",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","Course Total","61","3.492","34.4","37.7","24.6",".",".",".","1.6","1.6",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","31","3.710","64.5","29.0",".","3.2",".","3.2",".",".",".",".",".",".",".",".",".","."
"","700
020","41","3.756","70.7","24.4","2.4",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"","700
021","35","3.657","54.3","22.9","22.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
022","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","39","3.718","51.3","41.0","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
040","23","3.848","78.3","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","157","3.741","62.4","26.1","10.8",".",".",".","0.6",".",".",".",".",".",".",".",".","."
"","765
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
