"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Intro-Random Sig Anal&Stats","331
001","43","3.081","25.6","14.0","37.2","7.0","11.6","4.7",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","116","3.297","45.7","18.1","10.3","15.5","4.3","5.2","0.9",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","60","3.800","86.7",".","10.0",".","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"","352
001","86","3.271","25.6","39.5","12.8","16.3",".","3.5","1.2","1.2",".",".",".",".",".",".",".","."
"","352
002","53","3.288","20.8","39.6","17.0","17.0","3.8",".",".","1.9",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","139","3.277","23.7","39.6","14.4","16.5","1.4","2.2","0.7","1.4",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","83","3.367","34.9","30.1","18.1","12.0","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","354
001","34","3.338","29.4","26.5","26.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","50","3.170","22.0","22.0","36.0","12.0","6.0","2.0",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","84","3.238","25.0","23.8","32.1","14.3","3.6","1.2",".",".",".",".",".",".",".",".",".","."
"Elect Power for Alt Energy Sys","356
001","43","3.477","20.9","55.8","20.9","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","37","3.946","91.9","5.4","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","139","3.388","32.4","36.0","15.8","10.1","5.0","0.7",".",".",".",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
086","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","20","3.965","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001","20","3.050","15.0","20.0","30.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","411
003","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Electric Drive Sys","Course Total","36","3.292","25.0","30.6","25.0","16.7","2.8",".",".",".",".",".",".",".",".",".",".","."
"","427
001","44","3.291","22.7","31.8","27.3","11.4","4.5",".",".","2.3",".",".",".",".",".",".",".","."
"","427
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Electric Power Systems","Course Total","48","3.340","27.1","31.3","25.0","10.4","4.2",".",".","2.1",".",".",".",".",".",".",".","."
"Digital Signal Processing","431
001","39","3.795","76.9","7.7","12.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","11","3.045","27.3","9.1","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"Communication Systems I","436
001","25","3.360","48.0","24.0","16.0",".","4.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439
001","23","3.543","26.1","56.5","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","445
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
