"RELIGIOUS STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","",""
"Religion in Sickness & Health","102
001","181","3.829","75.1","18.2","5.0","0.6","1.1",".",".",".",".",".",".",".",".",".",".","."
"Consuming Happiness","173
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Topics in Relig St (H)","200
001","16","3.531","68.8","6.3",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Jewish Law, Business, Ethics","203
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biblical Lit","227
001","25","3.600","56.0","20.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Asia Enchanted","236
001","28","3.286","35.7","28.6","14.3","14.3",".","7.1",".",".",".",".",".",".",".",".",".","."
"Religion in South Asia","274
001","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women, Gender and Religion","305
001","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Survey of Tibetan Buddhism","307
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","400
001","10","3.611","60.0",".","20.0","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Meditation-Buddhism & Hinduism","473
001","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Religion-Critical Perspective","600
001","11","3.600","54.5","18.2",".","18.2",".",".",".",".",".",".",".",".","9.1",".",".","."
"Senior Capstone Res & Colloq","601
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"856
RELIG ST","Dept. Total","348","3.718","66.4","17.8","8.3","3.2","1.7","0.6",".","0.6",".",".",".",".","1.1",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","70","3.716","65.7","21.4","7.1","1.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","113","3.746","69.9","18.6","7.1","2.7","0.9","0.9",".",".",".",".",".",".",".",".",".","."
"Junior","","73","3.755","71.2","11.0","8.2","6.8",".",".",".",".",".",".",".",".","2.7",".",".","."
"Senior","","88","3.659","61.4","20.5","10.2","2.3","2.3","1.1",".",".",".",".",".",".","2.3",".",".","."
"Undergraduates","","344","3.720","67.2","18.0","8.1","3.2","1.7","0.6",".",".",".",".",".",".","1.2",".",".","."
"Special","","3","***","","","","","","","","","",".",".",".",".",".","33.3","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","348","3.718","66.4","17.8","8.3","3.2","1.7","0.6",".","0.6",".",".",".",".","1.1",".","0.3","."
