"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog
1","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Nuclear Engr
305","001","","29","3.034","17.2","37.9","17.2","10.3","10.3","3.4","3.4",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Engineering
411","001","","19","3.237","47.4","15.8","10.5","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"Nuclear Engr Materials
423","001","","23","3.065","17.4","34.8","26.1","4.3","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"Nuclear Instrumentation Lab
427","001","","18","3.306","55.6","5.6","16.7","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Laboratory
428","001","","8","3.286","50.0",".","12.5",".","25.0",".",".",".",".",".",".",".","12.5",".",".","."
"Principles of Corrosion
433","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas
525","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Power-Thermonuclear Fusion
536","001","","11","3.500","18.2","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","36.4","."
"Adv Nuclear Power Engr
550","001","","6","3.800","66.7",".","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Nuclear Reactor Dynamics
555","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Phys and Bio Effects
569","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Reactor Engr
602","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study
699","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Waves&Instabilities-Plasmas
724","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","6","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","34","",".",".",".",".",".",".",".","50.0","2.9",".",".","47.1",".",".",".","."
"Spec Topics-Plasma Physics
903","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
