"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"Modern Ethical Theories
541","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Great Moral Philosophers
549","001","","26","3.173","23.1","30.8","26.9","11.5","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"Philosophy of Mind
551","001","","24","3.239","33.3","16.7","20.8","20.8",".","4.2",".",".",".",".",".",".","4.2",".",".","."
"Ethics of Modern Biotechnology
565","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study
599","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis
681","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis
682","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","003","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"701","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar","Course Total","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Advanced History-Philosophy
835","001","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Proseminar in Philosophy
902","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Philosophy
904","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Philosophy of Science
920","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"960","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"960","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Metaphysics Seminar","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","15","",".",".",".",".",".",".",".","93.3",".",".",".","6.7",".",".",".","."
"999","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","2","***","","","","","","","","","","","","","","","",""
