"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"Survey of Horticulture
120","001","","55","3.413","52.7","14.5","10.9","5.5","7.3",".","3.6",".",".",".",".",".",".","1.8","3.6","."
"Horticulture Colloquium
121","001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ornamental Plants
234","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Turf Management
261","001","","10","3.700","70.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Turfgrass Management Lab
262","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Environment of Hort Plants
320","001","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plants and Human Wellbeing
350","001","","71","3.531","43.7","29.6","5.6","4.2","5.6","1.4",".","9.9",".",".",".",".",".",".",".","."
"World Vegetable Crops
370","001","","26","3.167","34.6","23.1","11.5","7.7","3.8","11.5",".","7.7",".",".",".",".",".",".",".","."
"375","001","","20","3.775","70.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","20","3.579","85.0",".",".",".",".",".","10.0",".",".",".",".",".","5.0",".",".","."
"Special Topics","Course Total","","40","3.679","77.5","10.0","2.5","2.5",".",".","5.0",".",".",".",".",".","2.5",".",".","."
"Tropical Horticultural Systems
376","001","","20","3.816","80.0","5.0",".","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Principles-Plant Breeding
501","001","","18","3.344","16.7","38.9","27.8",".","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"571","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"571","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","7","3.357","28.6","14.3","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems
699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Plant Breeding
957","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","33","",".",".",".",".",".",".",".","72.7",".",".",".","27.3",".",".",".","."
