"EDUCATIONAL PSYCHOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Intro to Qualitative Research","719","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Development","720","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dev Proc Across Life Span","723","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725","001","","17","3.821","52.9","29.4",".",".",".",".",".",".",".",".",".",".","17.6",".",".","."
"Socl, Emotionl&Behav Assessmnt","741","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760","001","","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"","760","002","","27","3.981","92.6","3.7",".",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"Stat Meth Appl to Educ I","","Course Total","","48","3.989","93.8","2.1",".",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"Intro: Dsgn-Ed Experiments","762","001","","30","3.982","90.0","3.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Regression Models in Education","763","001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Test Construction","771","001","","18","3.906","72.2","16.7",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Intro to Learning Sciences I","795","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Research Methods","803","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Quant Inquiry in Educ","822","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Surveys/Quant Data Collection","827","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840","002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","840","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","840","006","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","","Course Total","","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Foundations of Spec Ed","842","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in Human Dev","925","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Res and Meas in School Psych","948","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Bayesian Statistics","965","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","","","Page 97 of 450"
