"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis
110","001","","135","3.433","34.1","40.7","14.8","4.4","4.4",".","1.5",".",".",".",".",".",".",".",".","."
"Speech Science
201","001","","117","3.466","52.1","22.2","12.0","7.7","0.9","3.4","1.7",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing
202","001","","74","3.716","71.6","13.5","6.8","2.7","5.4",".",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt
240","001","","145","3.663","66.9","12.4","13.1","2.1","3.4","1.4",".",".",".",".",".",".",".","0.7",".","."
"Speech Acoustics,Perception
303","001","","89","3.551","52.8","22.5","14.6","4.5","4.5","1.1",".",".",".",".",".",".",".",".",".","."
"Phonetics and Phon. Dvlpt.
315","001","","98","3.490","35.7","34.7","22.4","6.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Audiology
320","001","","134","3.854","76.9","17.2","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sign Language I
424","001","","137","3.700","73.0","13.1","5.8","0.7","2.9","1.5","1.5","1.5",".",".",".",".",".",".",".","."
"Undergraduate Junior Honors
481","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang
503","001","","56","3.929","91.1","3.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis
682","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn
703","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder
706","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fluency&Phonological Disorders
708","001","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","48","3.990","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","085","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
