"CONSUMER SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","",""
"Finc'l Life Skills Undergrads","111","004","130","3.783","80.0","10.0","3.1","3.8","0.8",".","1.5",".",".",".",".",".","0.8",".",".","."
"Consuming Happiness","173","001","112","3.832","83.0","4.5","7.1","1.8","0.9","0.9",".","0.9",".",".",".",".","0.9",".",".","."
"Consumer Research & Analysis","201","001","149","3.711","55.0","34.2","8.7","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Leadership Symposium","250","001","121","3.698","71.9","13.2","9.1","0.8","3.3",".","1.7",".",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","251","001","105","3.838","88.6","3.8","2.9",".","3.8",".","1.0",".",".",".",".",".",".",".",".","."
"Introduction to Retailing","257","001","128","3.724","75.0","10.9","6.3","3.1","2.3",".","1.6",".",".",".",".",".","0.8",".",".","."
"Finances & Families","273","001","37","3.784","64.9","27.0","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275","001","87","3.471","32.2","40.2","16.1","9.2","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"","275","002","93","3.441","33.3","47.3","6.5","6.5","4.3","1.1","1.1",".",".",".",".",".",".",".",".","."
"Consumer Finance","","Course Total","180","3.455","32.8","43.9","11.1","7.8","2.8","0.6","0.6","0.6",".",".",".",".",".",".",".","."
"Independent Study","299","078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Analytics","301","001","91","3.368","38.5","22.0","17.6","18.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills After Grad","321","001","184","3.859","85.3","8.7","2.2","2.2","1.1",".","0.5",".",".",".",".",".",".",".",".","."
"Financial Coaching","355","001","28","3.500","50.0","25.0","7.1","10.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477","001","49","3.765","73.5","16.3","6.1","2.0",".","2.0",".",".",".",".",".",".",".",".",".","."
"Cons Strategy & Evl","555","001","77","3.922","84.4","15.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Channel Strategy","561","001","43","3.791","74.4","14.0","9.3",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"The Global Consumer","562","001","45","3.678","64.4","20.0","6.7","4.4","4.4",".",".",".",".",".",".",".",".",".",".","."
"","564","001","55","3.455","49.1","20.0","16.4","5.5","7.3","1.8",".",".",".",".",".",".",".",".",".","."
"","564","002","53","3.425","43.4","20.8","18.9","11.3","5.7",".",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","","Course Total","108","3.440","46.3","20.4","17.6","8.3","6.5","0.9",".",".",".",".",".",".",".",".",".","."
"Product Development Strategies","567","001","42","3.869","76.2","21.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","001","13","3.654","61.5","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603","015","18","3.853","83.3","5.6",".",".","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"","627","001","34","3.368","38.2","26.5","11.8","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","627","002","27","3.167","29.6","22.2","18.5","18.5","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","","Course Total","61","3.279","34.4","24.6","14.8","18.0","6.6","1.6",".",".",".",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","635","001","44","3.341","20.5","47.7","15.9","11.4","4.5",".",".",".",".",".",".",".",".",".",".","."
"","657","001","45","3.822","88.9","2.2","2.2","2.2","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"","657","002","47","3.870","74.5","21.3","2.1",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Consumer Behavior","","Course Total","92","3.846","81.5","12.0","2.2","1.1","1.1","1.1",".",".",".",".",".",".","1.1",".",".","."
"Household Risk Management","665","001","30","3.633","43.3","40.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699","077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Spec Topics-Consumer Sci","901","002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Fam Economic Policy","930","001","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","990","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","999","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","078","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 158 of 450",""
