"BUS","","","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","",""
"765
005","7","2.929","14.3","42.9","28.6",".",".",".","14.3",".",".","",".",".","",".","",".",".",".","."
"765
022","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"765
041","42","3.940","88.1","11.9",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Course Total
Contemporary Topics","69","3.797","84.1","11.6","2.9",".",".",".","1.4",".","",".",".","",".","",".",".",".",".","."
"Security Anal&Invstmt Mgt 1
835
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Applied Corporate Finance I
850
001","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Theory of Finance
920
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Smr-Corporate Finance (Ph.D.)
971
001","6","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Seminar-Workshop in Finance
973
001","10","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"PhD Thesis-Finance
990
121","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Reading & Rsch-Finance PhD
999
016","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Dept. Total
233
FINANCE","1712","3.391","40.7","24.6","18.5","6.8","7.9","0.3","0.4","0.6","",".",".","",".","",".","0.1","0.2",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","38","3.118","28.9","18.4","26.3","5.3","18.4","2.6",".",".","",".",".","",".","",".",".",".",".","."
"Junior","430","3.255","32.3","22.6","23.3","9.8","10.9","0.5","0.5",".","",".",".","",".","",".","0.2",".",".","."
"Senior","931","3.359","36.1","27.0","19.3","7.8","8.7","0.2","0.2","0.3","",".",".","",".","",".",".","0.3",".","."
"Undergraduates","1399","3.320","34.7","25.4","20.7","8.4","9.6","0.4","0.3","0.2","",".",".","",".","",".","0.1","0.2",".","."
"Special","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","308","3.774","67.9","21.4","8.1",".",".",".","0.6","1.9","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Dept. Total","1712","3.391","40.7","24.6","18.5","6.8","7.9","0.3","0.4","0.6","",".",".","",".","",".","0.1","0.2",".","."
