"","999
110","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
112","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
138","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Reading for PhD Prelims","Course Total","16","4.000","12.5",".",".",".",".",".",".","81.3",".",".","",".","6.3",".",".",".","."
"352
ENGL","Dept. Total","4263","3.798","74.1","13.1","4.6","1.4","0.9","0.2","0.9","1.3","0.0","0.2","",".","1.7","1.0","0.1","0.3","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1008","3.856","85.4","8.0","3.1","0.9","0.6","0.2","1.0",".",".",".","",".",".","0.6","0.2",".","."
"Sophomore","","1075","3.782","75.1","15.9","4.7","1.6","1.1","0.3","0.9",".",".",".","",".",".","0.3","0.1",".","0.1"
"Junior","","901","3.768","72.3","17.2","5.8","1.6","1.1","0.3","0.9","0.1",".",".","",".",".","0.7","0.1",".","."
"Senior","","880","3.752","71.9","15.6","6.4","1.9","1.0","0.1","1.3","0.1",".",".","",".","0.3","1.1","0.1",".","0.1"
"Undergraduates","","3864","3.791","76.4","14.1","4.9","1.5","1.0","0.2","1.0","0.1",".",".","",".","0.1","0.6","0.1",".","0.1"
"Special","","76","3.660","38.2","9.2","10.5","3.9",".",".",".","6.6",".",".","",".",".","13.2","1.3","17.1","."
"Graduate","","323","3.971","55.4","1.9","0.3","0.3",".",".",".","15.2","0.6","3.1","",".","21.4","1.9",".",".","."
"","Dept. Total","4263","3.798","74.1","13.1","4.6","1.4","0.9","0.2","0.9","1.3","0.0","0.2","",".","1.7","1.0","0.1","0.3","0.0"
