"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies
101","001","","270","3.540","44.1","36.7","9.3","3.3","1.5","1.1","1.5",".",".",".",".",".","2.2",".",".","0.4"
"WIScholars:Wi Intntl Schlr Smr
212","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","003","","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"310","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","008","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","010","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","011","","11","",".",".",".",".",".",".",".",".",".","72.7","27.3",".",".",".",".","."
"310","013","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"310","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"310","021","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","","69","",".",".",".",".",".",".",".",".",".","94.2","5.8",".",".",".",".","."
"Contemporary Issues-Intl St
320","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Globalization and Education
335","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"From Fascism to Today
366","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Globalizatn, Poverty&Develpmnt
373","001","","15","3.567","26.7","66.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security
401","001","","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics&Policy in Globl Econ
402","001","","42","3.113","33.3","21.4","16.7","4.8","11.9","2.4","4.8",".",".",".",".",".",".","2.4",".","2.4"
"403","001","","21","3.500","38.1","33.3","4.8",".",".",".","4.8",".",".",".",".",".","19.0",".",".","."
"403","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture in Age of Globalizatn","Course Total","","24","3.553","41.7","29.2","4.2",".",".",".","4.2",".",".",".",".",".","20.8",".",".","."
"Women's Global Health
535","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security
601","002","","19","3.842","78.9","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis
691","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
