"ASIAN LANG & CULTURE: LANG Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","",""
"","101
001","17","3.588","64.7","23.5","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","101
002","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Chinese","Course Total","53","3.830","81.1","15.1","1.9",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"","103
001","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
002","17","3.824","76.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","103
003","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
004","16","3.625","43.8","43.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","103
005","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
006","16","3.800","68.8","12.5","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","103
007","15","3.433","66.7","6.7","13.3",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","103
008","20","3.711","65.0","15.0","10.0",".","5.0",".",".",".",".",".",".",".",".","5.0",".","."
"First Semester Japanese","Course Total","137","3.756","69.3","19.0","6.6","1.5","1.5",".","0.7","0.7",".",".",".",".",".","0.7",".","."
"First Semester Korean","105
001","93","3.645","71.0","12.9","7.5","4.3","1.1",".","3.2",".",".",".",".",".",".",".",".","."
"Elementary Chinese II","111
001","14","3.857","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","114
001","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","114
003","16","3.767","62.5","18.8","12.5",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"2nd Sem Elementary Japanese","Course Total","35","3.838","71.4","20.0","5.7",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"First Semester Filipino","123
001","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hmong","125
001","24","3.563","50.0","16.7","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Indonesian","127
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Thai","129
001","12","3.208","41.7","25.0","16.7",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"First Semester Vietnamese","131
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hindi","133
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Modern Tibetan","135
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Persian","137
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Urdu","139
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Sanskrit","141
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
002","18","3.500","83.3",".","5.6",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","201
003","16","3.719","81.3","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Third Semester Chinese","Course Total","38","3.618","81.6","2.6","7.9",".",".","2.6","5.3",".",".",".",".",".",".",".",".","."
"","203
001","15","3.567","60.0","20.0","6.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","203
002","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","16","3.594","62.5","12.5","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","203
004","17","3.412","35.3","29.4","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","Course Total","65","3.585","55.4","21.5","13.8","3.1","6.2",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Korean","205
001","30","3.617","66.7","23.3",".",".","3.3","6.7",".",".",".",".",".",".",".",".",".","."
"Heritage Chinese I","211
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","223
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","223
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Filipino","Course Total","5","***","","","","","","","","","","","","","","","",""
