"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"","420","002","","22","3.295","22.7","36.4","18.2","22.7",".",".",".",".",".",".",".",".",".",".",".","."
"","420","003","","6","3.083",".","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","","Course Total","","35","3.235","20.0","25.7","31.4","20.0",".",".",".",".",".",".",".",".",".","2.9",".","."
"Economic Decision Analysis","421","001","","11","3.409","45.5","9.1","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Analytical Public Finance","441","001","","44","3.070","20.5","22.7","25.0","13.6","13.6","2.3",".",".",".",".",".",".",".","2.3",".","."
"Macroeconomic Policy","442","001","","41","3.500","39.0","22.0","34.1","2.4",".",".",".",".",".",".",".",".","2.4",".",".","."
"Behavioral Economics","455","001","","95","3.106","31.6","21.1","20.0","10.5","7.4","6.3","2.1",".",".",".",".",".",".",".","1.1","."
"Indust Struct&Comptitv Stratgy","458","001","","50","3.930","86.0","14.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economic Forecasting","460","001","","35","3.643","51.4","42.9",".",".","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"International Macroeconomics","461","001","","34","3.044","23.5","17.6","29.4","14.7","11.8",".","2.9",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462","001","","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Trade","464","001","","42","3.214","26.2","26.2","28.6","11.9","4.8",".","2.4",".",".",".",".",".",".",".",".","."
"Intl Industrial Organizations","467","001","","67","2.985","25.4","11.9","35.8","13.4","6.0","3.0","4.5",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473","001","","12","2.818","8.3","33.3","8.3","33.3",".",".","8.3","8.3",".",".",".",".",".",".",".","."
"Economics of Growth","475","001","","41","3.738","68.3","14.6","7.3","7.3",".",".",".",".",".",".",".",".",".","2.4",".","."
"Game Theory & Economic Anal","521","001","","57","3.362","40.4","15.8","22.8","10.5","3.5","1.8",".",".",".",".",".",".",".","1.8",".","3.5"
"Law and Economics","522","001","","99","3.268","28.3","24.2","32.3","7.1","6.1","2.0",".",".",".",".",".",".",".",".",".","."
"Insuring Life's Risks","530","001","","40","3.700","62.5","22.5","7.5","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","","35","3.586","34.3","48.6","17.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","581","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Issues in Internatl Macro","661","001","","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematics for Economists","700","001","","85","3.812","74.1","17.6","4.7","3.5",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics I","701","001","","85","3.653","51.8","36.5","7.1","2.4","1.2","1.2",".",".",".",".",".",".",".",".",".","."
"Mathematical Economics I","703","001","","27","3.760","59.3","22.2","11.1",".",".",".",".","3.7",".",".",".",".",".",".",".","3.7"
"Econometrics I","704","001","","87","3.406","24.1","32.2","40.2","1.1",".",".",".",".",".",".",".",".","2.3",".",".","."
