"EGR","","","","","","","","","","","","","","","","","","","","","","",""
"ENGR PROFESSIONAL DEVELO Section","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
348
E P D","426","3.870","83.6","10.1","4.9","0.5","0.5","",".","0.2","",".","",".",".","",".","",".","0.2",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","18","3.944","88.9","11.1",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","89","3.882","91.0","2.2","4.5","1.1",".","",".","1.1","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","110","3.891","90.0","4.5","3.6","0.9",".","",".","0.9","",".","",".",".","",".","",".",".",".",".","."
"Special","4","***","","","","","","","","","","","","",".","",".","",".","25.0",".",".","."
"Graduate","312","3.865","81.7","11.9","5.4","0.3","0.6","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","426","3.870","83.6","10.1","4.9","0.5","0.5","",".","0.2","",".","",".",".","",".","",".","0.2",".",".","."
