"","990
098","4","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
099","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","58","",".",".",".",".",".",".","",".","94.8","",".",".","",".","5.2",".",".",".","."
"Advanced Independent Study","999
077","8","4.000","100.0",".",".",".",".",".","",".",".",".","",".",".","",".",".",".",".","."
"718
PHM SCI","Dept. Total","983","3.802","65.0","12.5","8.6","1.1","0.3","0.1","",".","5.6","",".","6.3","",".","0.3","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","12","3.957","91.7","8.3",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","83","3.861","83.1","10.8","3.6","1.2","1.2",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","95","3.870","84.2","10.5","3.2","1.1","1.1",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","171","3.726","17.0","10.5","1.2","0.6",".",".","",".","32.2","",".","36.3","",".","1.8","0.6",".",".","."
"Prof Yr 1","","202","3.606","52.5","13.4","29.7","3.0","1.0","0.5","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","376","3.872","80.3","14.6","4.3","0.8",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","136","3.926","88.2","8.8","2.9",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","714","3.798","73.9","13.2","11.2","1.3","0.3","0.1","",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","983","3.802","65.0","12.5","8.6","1.1","0.3","0.1","",".","5.6","",".","6.3","",".","0.3","0.1",".",".","."
