"PHM","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","","",""
"","125
001","24","3.958","95.8",".","4.2",".",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"","125
002","36","3.944","94.4",".","5.6",".",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Exploring Pharmacy I","Course Total","60","3.950","95.0",".","5.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Pharm Integrated Learning Lab","423
001","101","4.000","100.0",".",".",".",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Safety & Quality-Med Use Sys","608
001","137","3.930","89.1","7.3","2.2","0.7",".","",".","",".","0.7",".","",".",".","",".","","",".",".",".","."
"Rural Pharmacy Practice","630
001","16","4.000","100.0",".",".",".",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Phmceut Biotech&Phmacogenomics","645
001","136","3.853","81.6","8.1","9.6","0.7",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Research Ethics","800
001","35","3.914","91.4","5.7",".",".","2.9","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"726
PHARMACY","Dept. Total","485","3.920","90.5","4.7","3.9","0.4","0.2","",".","",".","0.2","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","42","3.952","95.2",".","4.8",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","18","3.944","94.4",".","5.6",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","60","3.950","95.0",".","5.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","4","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","32","3.919","90.6","3.1",".",".","3.1","",".","",".","3.1","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","101","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","288","3.904","86.5","7.3","5.6","0.7",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","389","3.916","90.0","5.4","4.1","0.5",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","485","3.920","90.5","4.7","3.9","0.4","0.2","",".","",".","0.2","",".",".","",".","",".","",".",".",".","."
