"MARKETING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","",""
"Seminar-Supply Chain Managemnt","726
001","","21","3.762","66.7","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Pricing","730
001","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brand Strategy","735
001","","24","3.750","62.5","29.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","755
001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","755
004","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","","25","3.680","44.0","48.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","59","3.864","76.3","20.3","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics - Mkt Analytics","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
107","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
138","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
162","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","","8","",".",".",".",".",".",".",".","25.0",".",".",".","75.0",".",".",".","."
"Readng & Rsch-Marketing PhD","999
138","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"237
MARKETNG","Dept. Total","","1992","3.518","43.6","31.6","15.9","5.9","1.7","0.4","0.5","0.2",".",".",".","0.3",".",".",".","."
