"","998
083","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","998
088","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","998
201","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research-Chemical Biology","Course Total","56","",".",".",".",".",".",".",".","94.6","",".",".","",".",".",".",".","5.4","."
"224
CHEM","Dept. Total","7256","3.058","31.4","13.7","22.2","9.2","12.2","3.7","1.5","5.5","",".",".","",".","0.1","0.2","0.0","0.3","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1808","2.884","21.0","14.7","26.9","13.7","15.2","7.2","1.2",".","",".",".","",".",".","0.1","0.1",".","."
"Sophomore","","1973","3.114","32.1","15.0","25.0","9.1","13.6","3.6","1.2",".","",".",".","",".",".","0.1",".","0.3","."
"Junior","","1490","3.063","31.3","15.3","24.6","8.7","15.1","3.0","1.9","0.1","",".",".","",".",".",".",".","0.1","."
"Senior","","1043","3.114","37.0","14.0","21.4","10.2","10.8","2.3","3.3",".","",".",".","",".","0.5","0.3",".","0.1","0.2"
"Undergraduates","","6314","3.028","29.5","14.8","24.8","10.5","14.0","4.3","1.7","0.0","",".",".","",".","0.1","0.1","0.0","0.1","0.0"
"Special","","44","3.269","34.1","25.0","15.9","2.3","13.6",".","2.3","4.5","",".",".","",".",".",".",".","2.3","."
"Graduate","","1170","3.815","52.8","3.9","2.7","0.2",".",".",".","38.1","",".",".","",".","0.1","0.8",".","1.4","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","7529","3.058","33.2","13.2","21.4","8.9","11.8","3.6","1.4","6.0","",".",".","",".","0.1","0.2","0.0","0.3","0.0"
