"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"Intro to Animal Sciences
101","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dairy Herd Management I
233","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lactation Physiology
305","001","","14","3.500","50.0","7.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Livestck Prod&Hlth-Ag Dvlpm
370","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","001","","16","3.906","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"375","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","23","3.959","95.7",".",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"399","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","024","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Ruminant Nutr & Metab
414","001","","19","3.211","15.8","15.8","63.2","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Reproductive Physiology
434","001","","25","3.280","24.0","28.0","32.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Dairy Farm Mgmt Practicum
535","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis
681","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ruminant Nutr Phys II
825","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics
875","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar
900","032","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","","Page 16 of 450"
