"CIVIL SOC & COMMUNITY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","",""
"Community and Social Change
125","001","","59","3.542","66.1","15.3","10.2","1.7",".","1.7","5.1",".",".",".",".",".",".",".",".","."
"Nonprofit Sector: Overview
300","001","","83","3.931","89.2","6.0",".",".",".","1.2",".",".",".",".",".",".","2.4","1.2",".","."
"Communicating-Key Audiences
335","001","","32","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evaluation and Planning
345","001","","20","3.800","70.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Philanthropy & Civic Engagemnt
400","001","","33","3.803","87.9",".",".","9.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurialism and Society
455","001","","18","3.611","66.7","11.1","16.7",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Civil Soc & Commnty Leadership
460","001","","34","3.647","55.9","20.6","20.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"501","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","14","3.925","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Based Resrch & Eval
570","001","","33","3.922","84.8","9.1","3.0",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"Community Issues and Action
600","001","","20","3.925","95.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Internship
601","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Building Civil Society
775","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comm Power & Collective Action
795","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
