"","602
002","","15","3.733","60.0","26.7","13.3",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","602
003","","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Special Topics in EP","Course Total","","23","3.761","60.9","30.4","8.7",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"EP Graduate Seminar","920
001","","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"347
E P","Dept. Total","","90","3.072","31.1","22.2","21.1","7.8","2.2","2.2","3.3","",".","",".","1.1","",".","",".","8.9",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","18","2.800","22.2","16.7","27.8","16.7","5.6","5.6","5.6","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","31","3.000","19.4","25.8","25.8","6.5","3.2",".","6.5","",".","",".",".","",".","",".","12.9",".",".","."
"Senior","","","30","3.408","50.0","20.0","10.0","3.3",".","3.3",".","",".","",".",".","",".","",".","13.3",".",".","."
"Undergraduates","","","79","3.034","31.6","21.5","20.3","7.6","2.5","2.5","3.8","",".","",".",".","",".","",".","10.1",".",".","."
"Graduate","","","11","3.333","27.3","27.3","27.3","9.1",".",".",".","",".","",".","9.1","",".","",".",".",".",".","."
"","Dept. Total","","90","3.072","31.1","22.2","21.1","7.8","2.2","2.2","3.3","",".","",".","1.1","",".","",".","8.9",".",".","."
