"LANDSCAPE ARCHITECTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","",""
"Intro Land Arch Design","210","001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250","003","","11","3.591","63.6","9.1","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","250","005","","27","3.360","63.0","7.4","3.7","7.4",".","3.7","7.4","3.7",".",".",".",".","3.7",".",".","."
"","250","006","","13","3.577","46.2","38.5","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","250","008","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250","009","","13","3.750","61.5","23.1",".","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"","250","010","","11","3.364","54.5","9.1","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","","Course Total","","87","3.560","62.1","16.1","5.7","6.9","1.1","2.3","2.3","1.1",".",".",".",".","2.3",".",".","."
"Prin Land Arc Dsgn&Graphics","261","002","","15","3.500","26.7","60.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Landscape Arch Tech II","354","001","","8","2.750","12.5","37.5","12.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"Eco-Restoration Education","363","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship in Land Arch","397","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Visual Communication","460","001","","12","3.583","66.7",".","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Apps of GIS in Planning","532","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550","001","","11","3.591","54.5","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Plants and Ecology in Design","560","001","","9","3.611","66.7","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Designing Sustainable Regions","563","002","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610","001","","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Culture and Built Environment","639","001","","7","3.500","71.4","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Restoration Ecology","668","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theories-Landscape Change","710","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Crit Inquiry-Landscape Dsgn","720","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"Independent Studies","999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
