"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"Leading and Working in Teams","Course Total","95","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","41","3.841","73.2","24.4",".","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","723
030","41","3.512","26.8","48.8","24.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
050","42","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","83","3.705","53.0","34.9","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
001","32","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Bhv Anal-Mgt Decisn Making","729
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Venture Creation","734
001","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Fellowship Seminar","739
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprofit Brd Leadrship Devp I","742
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Impact Consulting for Arts","746
001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
020","35","3.557","31.4","48.6","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
021","42","3.405","21.4","52.4","23.8",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"","765
022","18","3.528","22.2","61.1","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
040","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
042","42","3.881","78.6","19.0","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","181","3.719","55.8","32.0","11.6",".",".",".","0.6",".",".",".",".",".",".",".",".","."
"Seminar-Arts Administration","773
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
067","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","19","3.905","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
129","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
133","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
146","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
208","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","10","",".",".",".",".",".",".",".","40.0",".",".",".","60.0",".",".",".","."
