"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","240
001","134","3.534","54.5","17.9","16.4","3.0","6.7",".","0.7",".",".",".",".",".",".",".",".","0.7"
"","240
002","66","3.652","62.1","25.8","4.5","1.5","4.5",".","1.5",".",".",".",".",".",".",".",".","."
"Intro to Data Modeling I","Course Total","200","3.573","57.0","20.5","12.5","2.5","6.0",".","1.0",".",".",".",".",".",".",".",".","0.5"
"","301
001","132","3.130","31.1","10.6","34.1","9.1","10.6","3.0","0.8",".",".",".",".",".",".","0.8",".","."
"","301
002","137","3.055","24.1","10.2","38.7","10.9","13.1","1.5","0.7","0.7",".",".",".",".",".",".",".","."
"","301
003","137","2.945","29.2","13.1","18.2","12.4","19.0","5.8","1.5","0.7",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","406","3.042","28.1","11.3","30.3","10.8","14.3","3.4","1.0","0.5",".",".",".",".",".","0.2",".","."
"","303
001","40","3.113","32.5","12.5","25.0","10.0","17.5","2.5",".",".",".",".",".",".",".",".",".","."
"","303
002","31","3.650","51.6","29.0","9.7","6.5",".",".",".",".","3.2",".",".",".",".",".",".","."
"","303
004","38","3.395","42.1","18.4","23.7","7.9","7.9",".",".",".",".",".",".",".",".",".",".","."
"R for Statistics I","Course Total","109","3.361","41.3","19.3","20.2","8.3","9.2","0.9",".",".","0.9",".",".",".",".",".",".","."
"","304
001","27","3.731","81.5","3.7","3.7","3.7",".",".","3.7","3.7",".",".",".",".",".",".",".","."
"","304
002","15","3.767","73.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","304
004","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"R for Statistics II","Course Total","49","3.760","77.6","10.2","4.1","4.1",".",".","2.0","2.0",".",".",".",".",".",".",".","."
"","305
001","17","3.433","52.9",".","17.6","5.9","11.8",".",".","5.9","5.9",".",".",".",".",".",".","."
"","305
002","9","3.444","77.8",".","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","305
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics III","Course Total","30","3.482","63.3",".","16.7","3.3","6.7",".","3.3","3.3","3.3",".",".",".",".",".",".","."
"","309
001","45","2.956","28.9","17.8","15.6","13.3","13.3","11.1",".",".",".",".",".",".",".",".",".","."
"","309
002","51","3.210","39.2","11.8","21.6","13.7","5.9","5.9",".",".",".",".",".",".",".",".","2.0","."
"Intro to Prob & Math Stat I","Course Total","96","3.089","34.4","14.6","18.8","13.5","9.4","8.3",".",".",".",".",".",".",".",".","1.0","."
"","310
001","63","3.532","54.0","20.6","17.5","3.2","1.6","1.6","1.6",".",".",".",".",".",".",".",".","."
"","310
002","39","3.203","35.9","2.6","41.0","5.1","7.7",".","2.6",".",".",".",".",".",".","2.6",".","2.6"
"Intro to Prob & Math Stat II","Course Total","102","3.410","47.1","13.7","26.5","3.9","3.9","1.0","2.0",".",".",".",".",".",".","1.0",".","1.0"
"","311
001","69","3.906","91.3","2.9","2.9","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"","311
002","69","3.978","97.1","1.4","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","71","3.965","94.4","4.2","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo, Meth) I","Course Total","209","3.950","94.3","2.9","1.9","0.5","0.5",".",".",".",".",".",".",".",".",".",".","."
"","312
001","44","2.756","20.5","15.9","15.9","18.2","18.2","2.3","6.8","2.3",".",".",".",".",".",".",".","."
"","312
002","62","3.024","16.1","25.8","27.4","24.2","1.6","1.6","3.2",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","Course Total","106","2.914","17.9","21.7","22.6","21.7","8.5","1.9","4.7","0.9",".",".",".",".",".",".",".","."
"","324
001","126","3.151","28.6","23.0","18.3","19.8","7.1","1.6","1.6",".",".",".",".",".",".",".",".","."
"","324
002","120","3.158","35.0","14.2","30.0","5.8","7.5","6.7","0.8",".",".",".",".",".",".",".",".","."
"","324
003","133","3.148","30.1","16.5","30.1","8.3","9.0","5.3",".","0.8",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","379","3.152","31.1","17.9","26.1","11.3","7.9","4.5","0.8","0.3",".",".",".",".",".",".",".","."
"","333
001","70","3.870","92.9","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".",".","1.4"
"","333
002","20","3.275","35.0","25.0","15.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","Course Total","90","3.736","80.0","7.8","3.3","2.2","3.3",".","2.2",".",".",".",".",".",".",".",".","1.1"
"","349
001","41","3.550","26.8","56.1","12.2","2.4",".",".",".",".",".",".",".",".",".",".",".","2.4"
"","349
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Time Series","Course Total","45","3.591","33.3","51.1","11.1","2.2",".",".",".",".",".",".",".",".",".",".",".","2.2"
"","371
001","127","3.240","29.1","18.1","33.1","14.2","3.9","1.6",".",".",".",".",".",".",".",".",".","."
