"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"","852
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","","46","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
001","","22","",".",".",".",".",".",".",".","95.5",".",".",".",".","4.5",".",".","."
"","854
002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
005","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","854
006","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","854
007","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
008","","11","",".",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","36.4"
"","854
009","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"","854
010","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
011","","20","",".",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","10.0"
"","854
012","","39","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
014","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
015","","9","",".",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","22.2"
"","854
016","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
018","","9","",".",".",".",".",".",".",".","88.9",".",".",".",".","11.1",".",".","."
"Clinical Program","Course Total","","182","",".",".",".",".",".",".",".","92.3",".",".",".",".","1.1",".",".","6.6"
"Advanced Criminal Procedure","860
001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Institutionalized Persons","862
001","","23","",".",".",".",".",".",".",".","87.0",".",".",".",".",".",".",".","13.0"
"Immigration Law","873
001","","58","1.560",".",".","44.8",".",".",".",".","8.6",".",".",".",".","5.2",".",".","."
"Wisconsin Internl Law Journ","895
001","","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Journal of Law, Gender & Soc.","896
001","","42","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","","80","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","904
001","","20","1.789","20.0",".","30.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","915
001","","29","1.308","17.2",".","13.8",".","3.4",".",".","10.3",".",".",".",".",".",".",".","."
"","915
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","915
003","","11","0.667",".",".","18.2",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"","915
004","","12","1.083","8.3",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","Course Total","","56","1.128","10.7",".","16.1",".","1.8",".",".","12.5",".",".",".",".","3.6",".",".","."
"","918
001","","18","1.625","11.1",".","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","918
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems: Intl Law Seminar","Course Total","","21","1.711","9.5","4.8","33.3",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"Problems: Tort Law Seminar","926
001","","10","0.300",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems- Land Law Seminar","928
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
001","","23","1.909","13.0",".","43.5",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","940
002","","14","1.462","7.1",".","35.7",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","940
003","","16","0.933","12.5",".","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","940
004","","21","0.714","4.8",".","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","940
005","","15","1.933","13.3",".","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 352 of 450",""
