"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"","200
001","","44","3.489","38.6","36.4","13.6","6.8","4.5",".",".",".",".",".",".",".",".",".",".","."
"","200
002","","47","3.681","61.7","25.5","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Contemp Public Policy Issues","Course Total","","91","3.588","50.5","30.8","8.8","5.5","4.4",".",".",".",".",".",".",".",".",".",".","."
"","274
002","","19","3.667","63.2","10.5","10.5","10.5",".",".",".",".",".",".",".",".",".",".","5.3","."
"","274
003","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Policy","Course Total","","26","3.680","57.7","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","3.8","."
"","380
001","","27","3.407","33.3","37.0","11.1","14.8","3.7",".",".",".",".",".",".",".",".",".",".","."
"","380
002","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tools for Public Policy","Course Total","","52","3.673","61.5","23.1","5.8","7.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"Inequality, Race & Publ Policy","520
001","","18","3.194","38.9","27.8","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Independent Reading","799
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pub Affr Prof Devlpmnt Workshp","800
001","","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809
001","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Stat Meths-Pub Pol Anal","818
001","","44","3.568","45.5","31.8","15.9","4.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Program Evaluation","871
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Policy-Making Process","874
001","","31","3.839","77.4","19.4",".",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Microecon Policy Analysis","880
001","","43","3.779","62.8","30.2","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","881
001","","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","881
002","","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Benefit-Cost Analysis","Course Total","","28","3.804","75.0","14.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Compartve&Natnl Social Policy","888
001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
