"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","29","3.724","69.0","20.7","6.9",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"Hip-Hop and Cont Am Society","154","001","231","3.858","80.5","11.7","2.2","2.2",".","0.9",".","2.2",".",".",".",".","0.4",".",".","."
"Black Music&Am Cultrl Hist","156","001","235","3.874","77.4","11.9","3.8","0.9","0.4",".",".","4.3",".",".",".",".","1.3",".",".","."
"Intro-Black Women Writers","222","001","19","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225","001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227","001","31","3.586","45.2","25.8","16.1","6.5",".",".",".",".",".",".",".",".",".",".","6.5","."
"Intro to Afro-Am History","231","001","96","3.935","81.3","3.1","2.1",".","1.0",".",".","12.5",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","20","3.763","60.0","30.0",".","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"Topics in African Amer Culture","271","001","29","3.793","93.1",".",".",".","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","67","3.924","85.1","1.5",".",".",".",".","1.5","10.4",".",".",".",".","1.5",".",".","."
"Africa: Introductory Survey","277","001","17","3.469","35.3","35.3","11.8","5.9","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"Blacks, Film, and Society","303","001","29","3.360","27.6","24.1","17.2","17.2",".",".",".",".",".",".",".",".","10.3",".","3.4","."
"W African Dance/Music-Americas","318","001","28","3.648","82.1","3.6","3.6",".",".",".","7.1",".",".",".",".",".","3.6",".",".","."
"The Black Arts Movement","338","001","21","3.842","81.0",".","4.8",".","4.8",".",".",".",".",".",".",".","9.5",".",".","."
"African Amer Political Theory","519","001","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","14","3.536","14.3","78.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","002","12","3.889","58.3","16.7",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Topics in Afro-Amer Culture","675","002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","699","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Educ and Civil Rights Movement","712","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","062","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
