"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","97","3.402","9.3","67.0","19.6","3.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"","300
003","32","3.453","28.1","40.6","28.1",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"","300
005","36","3.186","5.6","38.9","41.7","8.3","2.8",".",".","2.8",".",".",".",".",".",".",".","."
"","300
007","29","3.276","3.4","55.2","34.5","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","34","3.632","38.2","50.0","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","25","3.500","36.0","40.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","300
011","33","3.303","6.1","51.5","39.4","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","21","3.286","14.3","42.9","33.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","300
013","151","3.841","74.8","19.9","4.0","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","458","3.536","35.2","41.7","19.0","2.8","1.1",".",".","0.2",".",".",".",".",".",".",".","."
"","305
001","68","3.772","75.0","13.2","7.4","2.9",".","1.5",".",".",".",".",".",".",".",".",".","."
"","305
002","63","3.786","79.4","11.1","4.8","3.2",".",".","1.6",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","131","3.779","77.1","12.2","6.1","3.1",".","0.8","0.8",".",".",".",".",".",".",".",".","."
"Nw Vntrs in Bus,Arts&Soc Entrp","320
001","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","201","3.535","52.7","20.9","15.9","3.5","4.5","0.5","1.0",".",".",".",".",".","0.5",".","0.5","."
"","365
001","30","3.583","66.7","10.0","13.3","6.7",".",".","3.3",".",".",".",".",".",".",".",".","."
"","365
002","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","49","3.651","77.6","8.2","8.2","4.1",".",".","2.0",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","30","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","403
001","23","3.391","8.7","60.9","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","403
002","22","3.205","18.2","22.7","40.9","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","45","3.300","13.3","42.2","35.6","8.9",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","38","3.158","26.3","13.2","36.8","13.2","10.5",".",".",".",".",".",".",".",".",".",".","."
"","422
002","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","77","3.584","63.6","6.5","18.2","6.5","5.2",".",".",".",".",".",".",".",".",".",".","."
"","423
001","38","3.711","57.9","28.9","10.5","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","36","3.722","61.1","27.8","8.3",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","74","3.716","59.5","28.4","9.5","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","28","3.911","85.7","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
001","27","3.593","40.7","37.0","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
002","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
030","41","3.890","85.4","7.3","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","98","3.842","77.6","13.3","9.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Arts Entrepreneurship","632
001","26","3.750","65.4","23.1","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","700
040","23","3.696","47.8","47.8",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","704
030","33","3.742","66.7","18.2","12.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","705
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","705
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
020","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
021","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
022","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","Page 58 of 450",""
