"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","221
003","415","3.845","87.7","2.4","5.8","1.0","2.2","0.2","0.5",".",".",".",".",".",".","0.2",".","."
"","221
004","309","3.668","73.8","6.5","12.9","1.6","2.6","1.0","1.6",".",".",".",".",".",".",".",".","."
"","221
005","303","3.924","91.7","2.0","4.6",".","1.0",".",".",".",".",".",".",".","0.7",".",".","."
"","221
006","278","3.886","91.0","2.5","3.2","0.7","1.4",".","0.7",".",".",".",".",".","0.4",".",".","."
"Calculus&Analytic Geometry 1","Course Total","1960","3.821","86.2","3.1","6.4","0.8","1.7","0.7","0.8",".",".",".",".",".","0.2","0.1",".","."
"","222
001","249","3.464","60.6","8.0","16.5","2.8","8.0","3.2","0.8",".",".",".",".",".",".",".",".","."
"","222
002","185","3.619","71.9","6.5","14.1","0.5","3.8","0.5","2.7",".",".",".",".",".",".",".",".","."
"","222
003","232","3.571","68.5","4.7","15.1","3.0","4.7","2.6","0.9",".",".",".",".",".",".","0.4",".","."
"","222
004","229","3.253","54.6","5.2","19.7","3.5","8.7","3.5","4.8",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry 2","Course Total","895","3.470","63.5","6.1","16.4","2.6","6.5","2.6","2.2",".",".",".",".",".",".","0.1",".","."
"","228
013","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
015","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
053","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
054","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"WES Calculus Supplement","Course Total","48","3.969","95.8","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","234
001","199","3.487","67.3","7.0","12.1","2.0","5.0","3.5","3.0",".",".",".",".",".",".",".",".","."
"","234
002","251","3.735","80.5","2.8","9.6","1.6","4.0","1.2","0.4",".",".",".",".",".",".",".",".","."
"","234
003","245","3.663","73.9","5.3","12.7","2.4","4.1",".","1.6",".",".",".",".",".",".",".",".","."
"","234
004","135","3.761","79.3","4.4","11.1",".","3.7",".","0.7",".",".",".",".",".",".",".",".","0.7"
"","234
005","243","3.830","85.2","3.3","7.0","0.8","1.6","1.2",".","0.4",".",".",".",".","0.4",".",".","."
"Calc--Functns of Variables","Course Total","1073","3.697","77.4","4.5","10.3","1.5","3.6","1.2","1.1","0.1",".",".",".",".","0.1",".",".","0.1"
"","240
001","59","3.280","35.6","5.1","44.1","10.2","5.1",".",".",".",".",".",".",".",".",".",".","."
"","240
002","37","3.122","32.4","5.4","45.9","8.1",".","5.4","2.7",".",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","Course Total","96","3.219","34.4","5.2","44.8","9.4","3.1","2.1","1.0",".",".",".",".",".",".",".",".","."
"","309
001","17","3.088","35.3","17.6","5.9","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","309
002","17","3.147","23.5","35.3","17.6","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","34","3.118","29.4","26.5","11.8","14.7","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","310
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","Course Total","9","3.333","22.2","44.4","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","319
001","61","3.025","27.9","11.5","29.5","9.8","16.4",".","3.3",".",".",".",".",".",".","1.6",".","."
"","320
001","88","2.892","17.0","17.0","22.7","22.7","17.0","2.3","1.1",".",".",".",".",".",".",".",".","."
"","320
002","32","2.629","12.5","9.4","18.8","18.8","31.3","6.3",".",".",".",".",".",".",".",".","3.1","."
"","320
004","114","3.232","41.2","10.5","25.4","7.9","11.4","2.6","0.9",".",".",".",".",".",".",".",".","."
"","320
005","119","3.136","27.7","20.2","16.8","25.2","7.6","0.8","0.8","0.8",".",".",".",".",".",".",".","."
"","320
006","32","2.406","6.3","15.6","25.0","15.6","15.6","15.6","6.3",".",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","385","3.007","26.2","15.3","21.6","18.2","13.5","3.4","1.3","0.3",".",".",".",".",".",".","0.3","."
"Appl Mathematical Analysis","321
001","69","2.957","15.9","13.0","31.9","27.5","10.1","1.4",".",".",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","322
001","26","2.900","19.2","3.8","46.2","7.7","15.4",".","3.8","3.8",".",".",".",".",".",".",".","."
"","340
001","169","2.690","23.1","8.3","20.7","10.7","26.0","5.3","5.3",".",".",".",".",".","0.6",".",".","."
"","340
003","183","2.918","28.4","9.3","30.1","7.1","17.5","2.7","4.9",".",".",".",".",".",".",".",".","."
"","340
004","110","2.827","26.4","7.3","24.5","9.1","26.4","2.7","3.6",".",".",".",".",".",".",".",".","."
"","340
005","27","3.611","66.7","7.4","14.8","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
