"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"357","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"357","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"357","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Asian Language","Course Total","","18","3.969","83.3","5.6",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Japanese Conversation
376","001","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Conversation
378","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Korean
405","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"421","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"421","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"7th Semester Asian Language","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"450","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"450","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Readings Japanese II","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Rdgs in Chinese II
453","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475","002","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Asian Trans","Course Total","","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
