"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","31","3.548","38.7","38.7","16.1","6.5",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","52","3.510","55.8","26.9","3.8","5.8","3.8","",".","3.8","",".","",".",".","",".","",".","",".",".",".","."
"Senior","125","3.635","51.2","24.8","8.0","5.6","2.4","",".",".","",".","",".","8.0","",".","",".","",".",".",".","."
"Undergraduates","210","3.590","50.5","27.6","8.1","5.7","2.4","",".","1.0","",".","",".","4.8","",".","",".","",".",".",".","."
"Special","2","***","","","","","","","","","","","","",".","",".","",".","",".",".","50.0","."
"Graduate","227","3.817","64.3","14.5","5.3","0.9","0.9","",".",".","",".","",".","14.1","",".","",".","",".",".",".","."
"Prof Yr 3","9","3.667","22.2","44.4",".",".",".","",".",".","",".","",".","33.3","",".","",".","",".",".",".","."
"Prof Yr 4","11","3.778","45.5","36.4",".",".",".","",".",".","",".","",".","18.2","",".","",".","",".",".",".","."
"Professionals","20","3.733","35.0","40.0",".",".",".","",".",".","",".","",".","25.0","",".","",".","",".",".",".","."
