"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"Radiographic Anat-Dog&Cat
501","001","","95","3.989","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife
548","001","","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery
630","001","","89","3.438","37.1","25.8","27.0","7.9","2.2",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab
632","001","","89","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab
634","001","","89","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Diagnostic Imaging
638","001","","89","3.966","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"642","001","","34","4.000","8.8",".",".",".",".",".",".","91.2",".",".",".",".",".",".",".","."
"642","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","35","4.000","8.6",".",".",".",".",".",".","91.4",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery
644","001","","16","4.000","18.8",".",".",".",".",".",".","81.3",".",".",".",".",".",".",".","."
"645","001","","36","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"645","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","38","4.000","47.4",".",".",".",".",".",".","52.6",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology
646","001","","36","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"Radiology Clinics
647","001","","31","4.000","16.1",".",".",".",".",".",".","83.9",".",".",".",".",".",".",".","."
"675","001","","18","4.000","72.2",".",".",".",".",".",".","27.8",".",".",".",".",".",".",".","."
"675","003","","9","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"675","004","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","47","4.000","38.3",".",".",".",".",".",".","61.7",".",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation
741","001","","35","4.000","62.9",".",".",".",".",".",".","37.1",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med
743","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation
748","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective
750","001","","23","4.000","87.0",".",".",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"775","001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Rsch Ethics&Career Development
812","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
