"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","125
027","15","3.467","86.7",".",".",".",".",".","13.3",".",".",".",".",".",".",".",".","."
"","125
029","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
030","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
031","15","3.567","73.3","6.7","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","125
032","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
033","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
034","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
035","20","3.750","80.0","5.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","125
036","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Experience Seminar","Course Total","545","3.870","88.1","5.5","3.9","0.9","0.4","0.2","0.9",".",".",".",".",".","0.2",".",".","."
"Intersectionalities","225
001","231","3.879","85.7","10.0","1.3","1.3","1.3","0.4",".",".",".",".",".",".",".",".",".","."
"Mental Hlth &Diverse Community","237
001","140","3.882","84.3","9.3","5.0","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"","300
010","12","3.458","50.0","25.0","8.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Topics: Couns./Couns. Psych","Course Total","23","3.833","65.2","13.0","4.3",".","8.7",".",".",".",".",".",".",".","8.7",".",".","."
"Community-Engaged Scholarship","601
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
005","46","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","53","3.991","98.1","1.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Communication Skills","655
001","69","3.772","78.3","8.7","4.3","4.3","1.4","1.4",".",".",".",".",".",".","1.4",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum Activities","700
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Counseling Orient","730
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndtns Clin Mental Hlth Counsl","791
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theories of Counseling","800
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Helping Relations & Techniques","805
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supv Internship in Counseling","808
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev & Clinical Prac","810
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Consult in Health Service Psy","850
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Cultural Counseling","860
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cnsl Psy Practicum-Foundation","900
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Cnsl Psy Practicum-Advanced","903
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Counseling Psych Externship","904
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Rsch Pract in Counseling Psych","905
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Ethical & Professional Issues","926
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Methods in Cnsl Psych","950
001","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","990
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
