"ENGLISH AS A SECOND LANGU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"116
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
002","9","",".",".",".",".",".",".",".",".",".","77.8","22.2",".",".",".",".","."
"116
003","14","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"116
004","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"116
007","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"116
008","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
009","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"116
010","13","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"116
014","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"116
018","13","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"116
019","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Acad Reading and Vocab Skills","146","",".",".",".",".",".",".",".",".",".","91.1","8.9",".",".",".",".","."
"117
001","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"117
002","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"117
003","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
004","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
005","11","",".",".",".",".",".",".",".",".",".","81.8","9.1",".",".",".",".","9.1"
"117
007","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
008","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
010","11","",".",".",".",".",".",".",".",".",".","81.8","18.2",".",".",".",".","."
"117
012","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
013","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
014","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"117
015","10","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"117
017","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"117
020","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"117
023","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"117
024","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Academic Writing I","186","",".",".",".",".",".",".",".",".",".","94.1","5.4",".",".",".",".","0.5"
"118
001","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
002","10","3.150","20.0","50.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"118
003","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
004","10","3.750","80.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"118
007","13","3.538","84.6",".",".",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"118
008","11","3.182","72.7",".","9.1",".",".",".","18.2",".",".",".",".",".",".",".",".","."
"118
009","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
010","13","3.731","76.9",".","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"118
012","12","2.833","33.3","8.3","33.3","8.3",".",".","16.7",".",".",".",".",".",".",".",".","."
"118
013","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
014","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
015","13","3.577","76.9","7.7","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"118
016","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
017","10","3.700","80.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Academic Writing II","161","3.602","70.8","9.9","11.8","1.2","1.9",".","4.3",".",".",".",".",".",".",".",".","."
