"AGRICULTURAL AND APPLIED E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"Intro to Ag & Applied Econ","215","001","","41","3.280","36.6","19.5","26.8","12.2",".","2.4","2.4",".",".",".",".",".",".",".",".","."
"Climate Change Econ & Policy","246","001","","84","3.410","53.6","16.7","14.3","4.8","2.4","4.8","2.4","1.2",".",".",".",".",".",".",".","."
"Independent Study","299","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Internatl Ag Economy","319","001","","17","3.118","29.4","23.5","29.4",".","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"Farming Systems Management","320","001","","45","3.591","60.0","22.2","4.4","4.4","4.4",".","2.2",".",".",".",".",".",".","2.2",".","."
"Cooperatives","323","001","","13","3.423","61.5","15.4","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Intro to Data Analysis","335","001","","29","3.552","62.1","17.2","10.3","3.4","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Economics","343","001","","11","2.917","18.2","36.4","18.2","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Global Health: Econ & Policy","352","001","","27","3.593","70.4","11.1","7.4","3.7","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Energy, Resources & Economics","371","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Globalizatn, Poverty&Develpmnt","373","001","","18","3.167","16.7","44.4","22.2",".","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Economic Decision Analysis","421","001","","37","2.958","29.7","16.2","27.0","8.1","2.7","5.4","8.1",".",".",".",".",".",".","2.7",".","."
"Latin Amer Economc Develpmt","462","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Econometric Anal I","636","001","","32","3.766","75.0","12.5","6.3","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"","699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","6","3.800","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Microeconomics","705","001","","14","3.577","50.0","28.6",".","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Professional Development Sem","723","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract for Applied Economists","724","001","","17","3.455","23.5","17.6","17.6","5.9",".",".",".",".",".",".",".",".","35.3",".",".","."
"Development Economics 2","731","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Applied Econometric Analysis 3","737","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir & Resource Econ 2","762","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Microecon Resources & Energy","771","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem Res/Energy Demand Analysis","773","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Latin American Area","982","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","088","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","093","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","","","Page 1 of 450"
