"NEUROSCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"681
NEURODPT","","","","","","","","","","","","","","","","","","","",""
"Cellular&Molecular Neurosci
610","001","","11","2.286","9.1",".","27.3",".","9.1","9.1","9.1","27.3",".",".",".",".","9.1",".",".","."
"Molec & Cellular Mech-Memory
629","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"NEURODPT 699","Course Total","","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","10","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".","20.0","."
