"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Intro to SAS Prog for Pop Hlth
451","001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Air Pollution&Human Health
502","001","","55","3.818","76.4","10.9","12.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostats for Pop Hlth
551","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics
650","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Regression Mthds-Pop Hlth
651","001","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Integrating Med and PH
712","001","","75","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Global Health Care Systems
718","001","","25","4.000","92.0",".",".",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"728","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"728","008","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Climate Change Medicine","Course Total","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Principles-Populatn Health Sci
795","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Epidemiology
797","005","","46","3.762","56.5","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".","8.7","."
"Adv. Epi: Causal Inference
805","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health Epidemiology
810","001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar
820","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetic Epidemiology
849","002","","10","3.938","70.0","10.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Measuring Health Outcomes
876","001","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"915","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Hlth Systems & Policy","Course Total","","3","***","","","","","","","","","","","","","","","",""
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","15","",".",".",".",".",".",".",".","66.7",".",".",".","26.7",".",".","6.7","."
