"Intermediate Greek","305
001","","6","4.000","100.0",".",".",".","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"","541
001","","5","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","541
002","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Greek Philosophical Writers","Course Total","","6","3.700","50.0","16.7","16.7","",".",".","",".","",".","",".","",".",".","",".","",".","16.7",".",".","."
"428
GREEK","Dept. Total","","25","3.548","56.0","16.0","16.0","",".","8.0","",".","",".","",".","",".",".","",".","",".","4.0",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","3","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","","4","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","","2","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","","","8","3.444","62.5",".","25.0","",".","12.5","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","17","3.468","52.9","17.6","17.6","",".","11.8","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","","8","3.786","62.5","12.5","12.5","",".",".","",".","",".","",".","",".",".","",".","",".","12.5",".",".","."
"","Dept. Total","","25","3.548","56.0","16.0","16.0","",".","8.0","",".","",".","",".","",".",".","",".","",".","4.0",".",".","."
