"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","131","3.477","44.3","28.2","13.7","5.3","6.9","0.8",".",".",".",".",".",".",".","0.8",".","."
"","300
002","136","3.600","51.5","24.3","18.4","3.7","0.7","0.7",".",".",".",".",".",".",".","0.7",".","."
"","300
003","134","3.504","41.8","32.8","17.9","3.7","1.5","2.2",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","401","3.528","45.9","28.4","16.7","4.2","3.0","1.2",".",".",".",".",".",".",".","0.5",".","."
"Principles & Tech-Qual Mgmt","351
001","42","3.690","45.2","47.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","34","3.529","47.1","35.3","5.9",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","365
003","34","3.559","32.4","55.9","5.9","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","75","3.587","45.3","41.3","5.3","1.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","421
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","21","3.857","85.7","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","36","3.903","88.9","5.6","2.8","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","19","3.658","36.8","57.9","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","36","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Database Mngmnt & Applications","442
002","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
001","31","3.435","32.3","45.2","9.7","3.2","9.7",".",".",".",".",".",".",".",".",".",".","."
"","451
002","16","3.688","43.8","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Mgmt","Course Total","47","3.521","36.2","46.8","8.5","2.1","6.4",".",".",".",".",".",".",".",".",".",".","."
"Project Management","452
001","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","722
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
002","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","34","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Supply Chain Managemnt","726
001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","732
040","23","3.804","73.9","17.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","751
001","30","3.817","73.3","23.3",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","752
001","51","3.780","62.7","27.5","7.8",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"","752
010","35","3.786","62.9","31.4","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","752
022","25","3.680","48.0","40.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","752
040","42","3.833","76.2","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","153","3.780","64.1","26.8","8.5",".",".",".",".","0.7",".",".",".",".",".",".",".","."
"Healthcare Ops Mgt","753
055","22","3.881","72.7","22.7",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Manage Tech & Organztnl Change","758
001","28","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing by Design","760
001","27","3.741","63.0","25.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","765
020","34","3.529","29.4","47.1","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
021","42","3.476","31.0","33.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
022","19","3.526","36.8","31.6","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","95","3.505","31.6","37.9","30.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
149","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 63 of 450"
