"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"Agroecology of Food and Ag
103","002","","9","3.389","33.3","11.1","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture
201","001","","155","3.846","74.8","19.4","2.6","1.9",".",".",".",".",".",".",".",".",".",".","1.3","."
"Introduction to Global Health
203","001","","86","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Our Planet, Our Health
205","001","","91","3.852","89.0","4.4","1.1","1.1","3.3","1.1",".",".",".",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Introduction to Entomology
302","001","","13","3.462","46.2","23.1","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Principles-Econ Entomology
351","001","","16","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Special Topics
375","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Taxonomy
701","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Pract-Entomology Teaching
799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium
801","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics
875","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intr. to WI Ecol.: Grad Sem
953","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","20","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
