"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Econometrics II","705","001","54","3.435","25.9","35.2","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics III","706","001","104","3.769","58.7","36.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics II","708","001","54","3.657","48.1","37.0","13.0","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics I","709","001","62","3.526","37.1","30.6","30.6","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","711","001","62","3.331","22.6","32.3","35.5","8.1","1.6",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","712","001","52","3.404","25.0","44.2","19.2","9.6","1.9",".",".",".",".",".",".",".",".",".",".","."
"Econometric Methods","715","001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning for Econ","725","001","59","3.576","40.7","35.6","22.0","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","741","001","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor Economics","750","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","19","3.917","84.2","5.3","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Data Analytics for Economists","770","001","60","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory I","805","001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Advances-Economics","899","001","20","3.600","45.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp in Math Econ Theory","901","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","903","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","913","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop in Labor Economics","955","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","965","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Public Economics","968","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","977","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","021","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","36","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","","Course Total","3","***","","","","","","","","","","","","","","","",""
