"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","112
006","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
007","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
008","","10","3.600","70.0",".","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","","84","3.869","91.7",".","4.8",".","2.4","1.2",".",".",".",".",".",".",".",".",".","."
"","176
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
002","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Photo for Non-Majors","Course Total","","51","3.980","98.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","","10","3.350","60.0","10.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","212
005","","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing Methods & Concepts","Course Total","","51","3.804","86.3","3.9","2.0","3.9","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"","214
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","","36","3.833","88.9","5.6","2.8",".",".",".","2.8",".",".",".",".",".",".",".",".","."
"Life Drawing I","232
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor I","242
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
002","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","244
003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","27","4.000","96.3",".",".",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Color","302
001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","","15","3.767","73.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Making Comics 1","Course Total","","30","3.817","76.7","13.3","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","312
001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lithography","316
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Video, Perf & Installation Art","318
001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","322
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ceramics II","324
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
