"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","236","3.095","30.9","3.8","44.9","4.2","11.4","4.2","0.4",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620","001","28","3.519","28.6","42.9","25.0",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640","001","59","3.254","32.2","6.8","50.8","3.4","5.1","1.7",".",".",".",".",".",".",".",".",".","."
"Commercial Insurance","645","001","50","3.250","32.0","10.0","38.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650","001","33","3.545","30.3","48.5","21.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Financing Techniques","655","001","60","3.458","25.0","50.0","18.3","5.0","1.7",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","15","3.533","40.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","999","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","","Course Total","2","***","","","","","","","","","","","","","","","",""
