"L&S","","","","","","","","","","","","","","","","","","","","",""
"LATIN AMER, CARIB & IBERIAN  Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","",""
"US & Ltn Am:Col Era to Present","268","001","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Elementary Quechua","361","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","440","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440","002","","10","3.100","60.0",".",".","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Topics in LACIS","","Course Total","","20","3.325","80.0",".",".","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Directed Study","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
LACIS","","Dept. Total","","41","3.685","78.0","2.4","2.4","4.9","2.4",".","2.4","7.3",".",".",".",".",".",".",".","."
