"ALS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I Section","#","","Ave","A","AB","B","BC","","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Forests of the World
100
001","","11","3.909","90.9",".","9.1",".","",".","",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Our Planet, Our Health
205
001","","49","3.827","91.8","2.0",".",".","","4.1","",".","2.0",".","",".","",".",".","",".","","",".",".",".","."
"Dept. Total
360
ENVIR ST","","60","3.842","91.7","1.7","1.7","",".","3.3","",".","1.7","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","3.933","93.3",".","6.7","",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","19","4.000","100.0",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","14","3.714","85.7",".",".","",".","14.3","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","12","3.625","83.3","8.3",".","",".",".","",".","8.3","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","60","3.842","91.7","1.7","1.7","",".","3.3","",".","1.7","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","60","3.842","91.7","1.7","1.7","",".","3.3","",".","1.7","",".","",".",".","",".","",".","",".",".",".","."
