"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","",""
"MED","College Total","6687","3.775","35.4","8.9","3.3","0.5","0.2","0.2","0.1","40.7","0.1","7.0","",".","1.4","0.3","0.0","1.7","0.2"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"MED","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","27","3.468","33.3","48.1","11.1","3.7",".","3.7",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","65","3.703","67.7","20.0","7.7",".",".","3.1",".",".",".",".","",".",".",".",".","1.5","."
"Junior","","229","3.832","83.8","7.4","4.4","1.3",".","1.7",".",".",".",".","",".",".","0.4",".","0.9","."
"Senior","","689","3.797","77.9","10.0","7.4","1.5","0.6","0.3","0.1","0.7",".","1.0","",".","0.3","0.1",".",".","."
"Undergraduates","","1010","3.788","77.4","11.1","6.8","1.4","0.4","0.9","0.1","0.5",".","0.7","",".","0.2","0.2",".","0.3","."
"Special","","140","3.690","26.4","6.4","4.3",".",".",".","0.7","6.4",".",".","",".",".","0.7",".","55.0","."
"Graduate","","1685","3.744","48.9","10.9","4.3","0.7","0.5","0.4","0.1","23.4","0.1","3.2","",".","5.1","0.3","0.1","2.1","."
"Prof Yr 1","","1194","3.725","30.2","14.2","4.9","0.5",".",".",".","31.5","0.1","18.3","",".",".",".",".",".","0.3"
"Prof Yr 2","","778","3.842","27.4","9.5","0.3",".",".",".",".","47.6","0.3","14.0","",".","0.3","0.1",".",".","0.6"
"Prof Yr 3","","458","3.907","3.7","0.7",".",".",".",".",".","75.1",".","17.7","",".","0.7","0.7",".",".","1.5"
"Prof Yr 4","","1467","3.833","12.1","3.0","0.7","0.1",".",".",".","83.3",".",".","",".","0.1","0.5","0.1","0.1","."
"Professionals","","3897","3.791","19.7","7.4","1.8","0.2",".",".",".","59.3","0.1","10.5","",".","0.2","0.3","0.0","0.0","0.4"
"","College Total","6732","3.775","35.8","8.8","3.2","0.5","0.2","0.2","0.1","40.4","0.1","7.0","",".","1.4","0.3","0.0","1.7","0.2"
