"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","",""
"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Architectural Theory","150","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Architectural Making I","151","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","50","3.390","26.0","40.0","22.0","10.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","77","3.240","16.9","36.4","31.2","11.7","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","58","2.848","17.2","15.5","20.7","20.7","17.2","3.4","1.7","3.4",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","86","3.376","40.7","16.3","30.2",".","11.6",".",".",".",".",".",".",".","1.2",".",".","."
"Soil Mechanics","330","001","","53","3.170","15.1","20.8","49.1","13.2","1.9",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","47","3.783","74.5","10.6","8.5","2.1","2.1",".",".",".",".",".",".",".",".",".","2.1","."
"Frank Lloyd Wright - Design","352","001","","15","3.321","26.7","26.7","20.0","20.0",".",".",".",".",".",".",".",".","6.7",".",".","."
"Transportation Engineering","370","001","","49","3.061","28.6","14.3","26.5","10.2","16.3","4.1",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","57","3.105","22.8","21.1","33.3","10.5","8.8","1.8","1.8",".",".",".",".",".",".",".",".","."
"Open Channel Hydraulics","411","001","","19","3.833","63.2","31.6",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Env Sustain Eng","421","002","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426","002","","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","426","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","","Course Total","","30","3.948","86.7","10.0",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","427","001","","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","002","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","","Course Total","","44","3.920","88.6","6.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures I","445","001","","38","3.486","42.1","23.7","18.4","13.2",".",".",".","2.6",".",".",".",".",".",".",".","."
"Architectural Design","451","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","16","3.531","31.3","50.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","50","3.520","42.0","30.0","22.0","2.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","19","3.579","57.9",".","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","54","3.435","27.8","38.9","27.8","3.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"Water Chemistry","500","001","","13","3.423","38.5","23.1","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Water Analysis-Intermediate","501","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations","532","001","","25","3.340","28.0","24.0","36.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures II","547","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","","13","3.917","76.9","15.4",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Traffic Control","574","001","","17","3.471","35.3","29.4","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Pavement Design","576","001","","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","45","3.911","95.6",".","2.2",".",".","2.2",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","34","3.985","94.1","2.9",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","","Page 120 of 450",""
