"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"POP HLTH","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","11","3.758","72.7","9.1","18.2","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","45","3.831","77.8","11.1","11.1","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","57","3.820","77.2","10.5","12.3","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","17","3.948","58.8","5.9",".","",".","",".","",".","",".","11.8","",".",".","",".",".",".",".","23.5","."
"Graduate","139","3.844","66.9","14.4","5.0","",".","",".","",".","",".","9.4","",".",".","",".","2.9","0.7",".","0.7","."
"Prof Yr 1","73","4.000","4.1",".",".","",".","",".","",".","",".",".","",".","95.9","",".",".",".",".",".","."
"Prof Yr 2","21","3.967","66.7","4.8",".","",".","",".","",".","",".","4.8","",".","23.8","",".",".",".",".",".","."
"Prof Yr 3","11","3.941","63.6","9.1",".","",".","",".","",".","",".","27.3","",".",".","",".",".",".",".",".","."
"Prof Yr 4","34","3.890","44.1","2.9","2.9","",".","",".","",".","",".","47.1","",".",".","",".",".","2.9",".",".","."
"Professionals","139","3.931","28.1","2.2","0.7","",".","",".","",".","",".","14.4","",".","54.0","",".",".","0.7",".",".","."
