"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"M M & I","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","27","3.331","55.6","14.8","11.1","7.4",".","11.1","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","157","3.737","74.5","10.2","9.6","2.5","1.9",".","",".",".","",".",".","",".","1.3","",".",".",".","."
"Undergraduates","187","3.681","72.2","10.7","9.6","3.2","1.6","1.6","",".",".","",".",".","",".","1.1","",".",".",".","."
"Special","5","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","96","3.854","51.0","7.3","4.2",".",".",".","",".","9.4","",".",".","",".","26.0","",".",".","2.1","."
"Prof Yr 1","64","3.685","46.9","21.9","15.6",".",".",".","",".","15.6","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","2","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","6","4.000","66.7",".",".",".",".",".","",".",".","",".",".","",".","33.3","",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","74","3.720","51.4","18.9","13.5",".",".",".","",".","13.5","",".",".","",".","2.7","",".",".",".","."
