"MEDICAL MICROBIOL & IMMUN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"Pathogenic Bacteriology
301","001","","70","3.783","72.9","18.6","1.4","4.3",".","1.4",".","1.4",".",".",".",".",".",".",".","."
"Immunology
528","001","","85","3.488","51.8","10.6","24.7","3.5","3.5","2.4",".","3.5",".",".",".",".",".",".",".","."
"Infect Diseases & Bioterrorism
554","001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology and Genetics of Fungi
655","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","003","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Adv Topics-Medicl Microbiol","Course Total","","19","4.000","47.4",".",".",".",".",".",".","52.6",".",".",".",".",".",".",".","."
"691","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Infect Disease-Human Beings
704","001","","59","3.703","57.6","25.4","16.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mech Microbial Pathogenesis
740","001","","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar
901","001","","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".",".","."
"Smr-Molecular Biosci (Adv)
914","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","33","",".",".",".",".",".",".",".","18.2",".",".",".","75.8",".",".","6.1","."
