"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Art/Sci of Human Flourishing","120
001","88","3.449","22.7","53.4","17.0","4.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","78","3.673","61.5","28.2","3.8","3.8",".","1.3","1.3",".",".",".",".",".",".",".",".","."
"","202
001","311","3.086","31.2","19.6","17.0","14.1","11.3","4.2","1.9","0.3",".",".",".",".","0.3",".",".","."
"","202
002","367","3.652","65.4","18.5","7.9","4.1","1.1","1.6","1.1",".",".",".",".",".",".",".","0.3","."
"","202
003","371","3.846","84.1","9.2","3.2","2.2","0.3","0.5","0.5",".",".",".",".",".",".",".",".","."
"","202
005","329","2.992","24.3","23.4","16.7","14.0","15.2","3.6","2.4",".",".",".",".",".",".","0.3",".","."
"","202
006","353","3.152","29.7","21.5","21.2","15.6","7.1","3.1","1.4",".",".",".",".",".","0.3",".",".","."
"","202
010","22","2.977","22.7","18.2","18.2","13.6","27.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","1753","3.359","47.9","18.3","13.0","9.8","6.9","2.5","1.4","0.1",".",".",".",".","0.1","0.1","0.1","."
"","210
001","55","2.991","29.1","14.5","16.4","16.4","20.0","1.8","1.8",".",".",".",".",".",".",".",".","."
"","210
002","57","3.316","47.4","10.5","14.0","17.5","8.8","1.8",".",".",".",".",".",".",".",".",".","."
"","210
003","54","2.824","16.7","1.9","44.4","7.4","27.8","1.9",".",".",".",".",".",".",".",".",".","."
"","210
004","53","2.441","9.4","7.5","22.6","5.7","43.4","1.9","5.7",".",".",".",".",".","3.8",".",".","."
"","210
005","54","3.217","38.9","5.6","38.9","3.7","5.6","3.7","1.9",".",".",".",".",".","1.9",".",".","."
"Basic Stats for Psychology","Course Total","273","2.967","28.6","8.1","27.1","10.3","20.9","2.2","1.8",".",".",".",".",".","1.1",".",".","."
"","225
001","58","3.147","10.3","34.5","41.4","5.2","6.9","1.7",".",".",".",".",".",".",".",".",".","."
"","225
002","60","3.075","16.7","20.0","36.7","15.0","11.7",".",".",".",".",".",".",".",".",".",".","."
"","225
003","112","3.491","58.0","8.0","21.4","3.6","2.7","0.9","2.7",".",".",".",".",".","2.7",".",".","."
"Research Methods","Course Total","230","3.293","35.2","17.8","30.4","7.0","6.1","0.9","1.3",".",".",".",".",".","1.3",".",".","."
"Issues in Psychology","311
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","19","3.737","78.9","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","380
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology Law & Social Policy","401
001","102","3.455","34.3","26.5","32.4","3.9","1.0",".",".",".",".",".",".",".","2.0",".",".","."
"","405
001","265","2.741","11.3","13.6","31.7","17.7","17.7","5.3","2.3",".",".",".",".",".","0.4",".",".","."
"","405
002","14","3.846","78.6","7.1",".","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"Abnormal Psychology","Course Total","279","2.809","14.7","13.3","30.1","17.2","16.8","5.0","2.2",".",".",".",".",".","0.7",".",".","."
"","414
001","306","3.133","28.8","11.8","35.6","9.8","8.8","2.9","0.7",".",".",".",".",".","1.0",".","0.7","."
"","414
002","18","3.694","72.2",".","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Cognitive Psychology","Course Total","324","3.174","31.2","11.1","34.9","9.6","8.3","2.8","0.6",".",".",".",".",".","0.9",".","0.6","."
"","449
001","83","3.179","25.3","21.7","22.9","18.1","9.6",".",".","1.2",".",".",".",".","1.2",".",".","."
"","449
002","13","3.654","30.8","69.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Behavior","Course Total","96","3.263","26.0","28.1","19.8","15.6","8.3",".",".","1.0",".",".",".",".","1.0",".",".","."
"","456
001","84","3.774","83.3","6.0","3.6","1.2","4.8",".","1.2",".",".",".",".",".",".",".",".","."
"","456
002","143","3.007","23.1","12.6","28.0","16.8","16.1","2.1",".","0.7",".",".",".",".",".","0.7",".","."
"","456
003","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","235","3.363","46.0","10.6","18.7","10.6","11.5","1.3","0.4","0.4",".",".",".",".",".","0.4",".","."
"Child Development","460
001","338","3.377","30.2","39.6","18.3","7.4","1.8","1.2","1.5",".",".",".",".",".",".",".",".","."
"Human Emotions:Biology-Culture","508
001","201","3.485","59.2","14.9","7.5","8.0","7.0","1.5","1.5",".",".",".",".",".",".","0.5",".","."
"Issues Child Psychopathology","510
001","153","3.252","26.8","34.0","18.3","12.4","5.9","1.3","1.3",".",".",".",".",".",".",".",".","."
"Neurobiology","523
001","84","3.196","34.5","20.2","19.0","9.5","13.1","3.6",".",".",".",".",".",".",".",".",".","."
"Criminal Mind:Forensics/Scienc","526
001","153","3.758","70.6","21.6","3.9","0.7","1.3","2.0",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering","549
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
