"ALS","","","","","","","","","","","","","","","","","","","",""
"AGROECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"130
AGROECOL","","","","","","","","","","","","","","","","","","","",""
"Agroecology of Food and Ag
103","002","","98","3.695","65.3","12.2","13.3","4.1","2.0",".",".",".",".",".",".",".",".",".","3.1","."
"Farm as Socio-Envir Endeavor
701","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agroecology Seminar
710","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Agroecology Field Study
720","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","11","",".",".",".",".",".",".",".","45.5",".",".",".","54.5",".",".",".","."
