"ENVIR ST - GAYLORD NELSON I Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Agroecology of Food and Ag","103","002","23","3.304","30.4","30.4","17.4","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","85","3.560","38.8","41.2","11.8","2.4","3.5",".",".",".",".",".",".",".","2.4",".",".","."
"Environment & Social Sciences","112","001","267","3.646","58.1","26.6","9.0","1.9","1.1",".","1.9","1.1",".",".",".",".","0.4",".",".","."
"","117","001","32","3.563","75.0",".","12.5",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","117","002","21","3.381","57.1",".","33.3",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"GreenHouse Roots Seminar","","Course Total","53","3.491","67.9",".","20.8",".","5.7","3.8","1.9",".",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","85","3.365","38.8","29.4","18.8","3.5","5.9","1.2","2.4",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","60","3.720","70.0","6.7","18.3","1.7","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","15","3.571","40.0","26.7","26.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Global Environmental Issues","139","001","74","3.365","37.8","28.4","18.9","6.8","5.4","1.4","1.4",".",".",".",".",".",".",".",".","."
"","153","001","65","3.969","92.3","6.2",".",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"","153","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","153","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Literature and the Environment","","Course Total","74","3.945","90.5","5.4","2.7",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"Global Chg: Atmospheric Iss","171","001","21","3.595","42.9","33.3","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","36","3.889","83.3","13.9",".","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","57","3.643","61.4","10.5","21.1","3.5","1.8",".",".",".",".",".",".",".",".","1.8",".","."
"Rhet,Science&Public Engagement","305","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"IndigenousPeoples&Environment","306","001","112","3.505","48.2","25.0","12.5","4.5","4.5",".","1.8","1.8",".",".",".",".","1.8",".",".","."
"Limnology-Aquatic Resources","315","001","30","3.033","23.3","20.0","30.0","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Environmental History: Europe","328","001","9","3.188","11.1","22.2","44.4","11.1",".",".",".",".",".",".",".",".","11.1",".",".","."
"Past Climatic Environments","335","001","17","3.206","29.4","29.4","5.9","23.5","11.8",".",".",".",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","19","3.500","21.1","63.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","53","3.934","90.6","7.5",".","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","14","3.107","35.7","7.1","28.6","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Native North Amer Nat Res Mgmt","345","001","19","3.579","52.6","15.8","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Air Quality","355","001","22","3.545","45.5","31.8","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","65","3.777","75.4","15.4","6.2","1.5",".",".","1.5",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","21","3.175","23.8","14.3","33.3","19.0","4.8",".",".",".",".",".",".",".",".",".","4.8","."
"Intro to Geog Info Systems","377","001","9","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","402","001","28","3.661","60.7","17.9","17.9",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","402","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","003","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","004","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","72","3.763","79.2","11.1","6.9",".","1.4",".",".",".",".",".",".",".","1.4",".",".","."
"Topics in Envir: Humanistic","404","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Resources","411","001","84","3.729","61.9","21.4","14.3","1.2",".",".",".","1.2",".",".",".",".",".",".",".","."
"Preserving Nature","413","001","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainability Sci, Tech & Pol","417","001","22","3.833","81.8","4.5","4.5",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"US Envir Policy & Regulation","439","001","34","3.779","76.5","11.8","5.9","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
