"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","26","3.192","19.2","23.1","46.2",".","11.5",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","157","3.334","35.7","21.7","26.8","8.3","5.7","1.3",".",".","",".",".","",".",".","0.6",".",".","."
"Senior","","745","3.489","48.9","20.1","19.2","6.2","4.0","0.7","0.3","0.4","",".",".","",".",".","0.3",".",".","."
"Undergraduates","","929","3.454","45.7","20.6","21.2","6.4","4.5","0.8","0.2","0.3","",".",".","",".",".","0.3",".",".","."
"Special","","4","***","","","","","","","","","","",".","",".",".",".",".","25.0","."
"Graduate","","368","3.859","60.9","6.5","3.3","0.8","0.3",".",".","22.8","",".",".","",".","5.2",".",".","0.3","."
"","Dept. Total","1301","3.531","50.0","16.6","16.1","4.8","3.3","0.5","0.2","6.8","",".",".","",".","1.5","0.2",".","0.2","."
