"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","Dept. Total","120","3.855","50.0","3.3","3.3","0.8","",".","",".","",".","37.5","",".",".","",".","2.5","0.8",".","1.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","6","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","51","3.830","82.4","7.8","7.8","2.0","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","57","3.843","84.2","7.0","7.0","1.8","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","60","4.000","20.0",".",".",".","",".","",".","",".","71.7","",".",".","",".","3.3","1.7",".","3.3","."
"Prof Yr 3","","3","***","","","","","","","","","","","","","",".","",".","33.3",".",".",".","."
"Professionals","","3","***","","","","","","","","","","","","","",".","",".","33.3",".",".",".","."
"","Dept. Total","120","3.855","50.0","3.3","3.3","0.8","",".","",".","",".","37.5","",".",".","",".","2.5","0.8",".","1.7","."
