"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","6","2.750","16.7","33.3","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"","101
002","17","3.294","41.2","11.8","17.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
003","16","3.633","56.3","31.3",".",".",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"","101
004","20","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","17","3.559","47.1","35.3",".","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","9","3.333","33.3","22.2","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","17","3.441","47.1","23.5","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","102","3.470","45.1","29.4","7.8","12.7","2.0","1.0","1.0","1.0",".",".",".",".",".",".",".","."
"","102
001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","21","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","9","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","24","3.854","83.3","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","44","3.818","79.5","9.1","6.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","204
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","16","3.700","50.0","31.3","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Advanced Italian Language","311
001","22","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Literature & Culture I","321
001","17","3.794","76.5","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Machiavelli and His World","365
001","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Topics: Ital Culture,Film,Lang","452
001","35","3.948","74.3","8.6",".",".",".",".",".","17.1",".",".",".",".",".",".",".","."
"Il Settecento","621
001","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Dante's Divina Commedia","659
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues-Mthds Teachng Fr&Itl","821
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","951
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","11","",".",".",".",".",".",".",".","63.6",".",".",".","36.4",".",".",".","."
