"L&S","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
944
URB R PL","158","3.756","67.1","11.4","7.6","0.6","1.9","",".","0.6","7.0","0.6",".","",".","",".","3.2",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","14","3.609","57.1","14.3","21.4","7.1",".","",".",".",".",".",".","",".","",".",".",".",".","."
"Junior","15","3.721","66.7","13.3","6.7",".","6.7","",".",".",".",".",".","",".","",".","6.7",".",".","."
"Senior","21","3.616","81.0","4.8","4.8",".","4.8","",".","4.8",".",".",".","",".","",".",".",".",".","."
"Undergraduates","50","3.644","70.0","10.0","10.0","2.0","4.0","",".","2.0",".",".",".","",".","",".","2.0",".",".","."
"Special","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","107","3.827","65.4","12.1","6.5",".","0.9","",".",".","10.3","0.9",".","",".","",".","3.7",".",".","."
"Dept. Total","158","3.756","67.1","11.4","7.6","0.6","1.9","",".","0.6","7.0","0.6",".","",".","",".","3.2",".",".","."
