"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People
123","001","","98","3.857","80.6","11.2","7.1","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"General Botany
130","001","","128","3.337","46.9","12.5","20.3","2.3","14.1","2.3",".",".",".",".",".",".","0.8","0.8",".","."
"151","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"151","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"151","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","11","2.864",".","18.2","54.5","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology
152","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Plants and Humans
240","001","","72","3.821","73.6","15.3","6.9",".","1.4",".",".",".",".",".",".",".","1.4","1.4",".","."
"Introductory Ecology
260","001","","32","3.406","40.6","21.9","28.1","3.1","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"Rainforests and Coral Reefs
265","001","","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Plant Anatomy
300","001","","26","3.115","34.6","11.5","19.2","19.2","11.5","3.8",".",".",".",".",".",".",".",".",".","."
"Algae
330","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeography
338","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grassland Ecology
370","001","","49","3.959","93.9","4.1","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Systematics
400","001","","32","3.406","40.6","25.0","18.8","6.3","9.4",".",".",".",".",".",".",".",".",".",".","."
"Dendrology
402","001","","13","3.773","61.5","7.7","15.4",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Evolutionary Biology
410","001","","18","3.222","33.3","16.7","22.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin
455","001","","15","3.321","40.0","20.0","6.7","13.3","13.3",".",".",".",".",".",".",".","6.7",".",".","."
"General Ecology
460","001","","30","3.017","33.3","23.3","16.7",".","13.3","10.0","3.3",".",".",".",".",".",".",".",".","."
"Ethnobotany
474","001","","37","3.886","86.5","2.7",".","2.7","2.7",".",".",".",".",".",".",".","5.4",".",".","."
"499","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Directed Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Special Topics
575","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Conservation Biology
651","001","","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology and Genetics of Fungi
655","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis
681","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis
692","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
