"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","15","3.567","73.3","6.7","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","101
002","14","3.679","50.0","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","18","3.583","44.4","33.3","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","82","3.713","64.6","23.2","8.5","2.4",".",".","1.2",".",".",".",".",".",".",".",".","."
"","102
001","17","3.676","64.7","17.6","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","24","3.771","75.0","12.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"First Semester Dutch","111
001","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","17","3.750","47.1","47.1",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","203
003","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","50","3.806","62.0","34.0","2.0",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"","204
001","15","3.700","53.3","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","13","3.500","61.5","15.4","7.7",".",".",".","7.7","7.7",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","28","3.611","57.1","28.6","3.6","3.6",".",".","3.6","3.6",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Dutch Life & Culture","245
001","29","3.946","89.7","3.4","3.4",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"","249
001","18","3.750","88.9","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","249
002","16","3.750","68.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","249
003","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","51","3.765","76.5","13.7","5.9","2.0",".",".","2.0",".",".",".",".",".",".",".",".","."
"","258
001","21","3.738","66.7","23.8","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","258
002","21","3.595","66.7","23.8",".",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","42","3.667","66.7","23.8","2.4",".","4.8",".","2.4",".",".",".",".",".",".",".",".","."
"","262
001","17","3.735","82.4",".","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","262
002","16","3.750","93.8",".",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","262
003","14","3.571","78.6",".","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","47","3.691","85.1",".","6.4","2.1","2.1",".","4.3",".",".",".",".",".",".",".",".","."
"","267
001","113","3.911","89.4","7.1","1.8",".",".",".","0.9","0.9",".",".",".",".",".",".",".","."
"","267
002","34","3.985","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yiddish Song and Jewish Exp","Course Total","147","3.932","91.2","6.1","1.4",".",".",".","0.7","0.7",".",".",".",".",".",".",".","."
"Topics in German Culture","278
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Dutch-Grad Stdts","311
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","337
001","13","3.538","46.2","38.5",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to German Linguistics","351
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Literature","362
001","20","3.525","50.0","35.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","372
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
