"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","371
002","126","3.167","27.8","19.0","28.6","14.3","8.7",".","1.6",".",".",".",".",".",".",".",".","."
"","371
003","123","3.130","26.0","13.8","33.3","15.4","10.6","0.8",".",".",".",".",".",".",".",".",".","."
"","371
004","103","3.121","22.3","20.4","36.9","7.8","9.7","1.9","1.0",".",".",".",".",".",".",".",".","."
"","371
005","96","3.203","24.0","27.1","27.1","15.6","4.2","1.0","1.0",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","575","3.173","26.1","19.3","31.8","13.6","7.5","1.0","0.7",".",".",".",".",".",".",".",".","."
"","424
001","62","3.590","40.3","38.7","16.1","3.2",".",".",".",".",".",".",".",".",".","1.6",".","."
"","424
002","49","2.949","42.9","8.2","14.3","10.2","8.2","10.2","6.1",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","Course Total","111","3.305","41.4","25.2","15.3","6.3","3.6","4.5","2.7",".",".",".",".",".",".","0.9",".","."
"","431
002","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","431
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
004","8","2.313","12.5","12.5","12.5",".","50.0",".","12.5",".",".",".",".",".",".",".",".","."
"","431
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","20","2.550","20.0","15.0","15.0","5.0","30.0","5.0","10.0",".",".",".",".",".",".",".",".","."
"","451
001","63","3.724","55.6","22.2","14.3",".",".",".",".","7.9",".",".",".",".",".",".",".","."
"","451
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Machine Learning","Course Total","64","3.729","56.3","21.9","14.1",".",".",".",".","7.8",".",".",".",".",".",".",".","."
"","461
001","27","2.907","14.8","11.1","40.7","7.4","25.9",".",".",".",".",".",".",".",".",".",".","."
"","461
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Statistics","Course Total","28","2.946","17.9","10.7","39.3","7.1","25.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computational Statistics","471
001","19","2.500","26.3","5.3","10.5","21.1","15.8","10.5","10.5",".",".",".",".",".",".",".",".","."
"","475
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Stats","479
003","26","3.240","50.0","15.4","7.7","7.7","7.7",".","7.7","3.8",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostatistics","541
001","13","4.000","76.9",".",".",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"","571
001","59","3.603","40.7","37.3","20.3",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"","571
002","66","3.508","33.3","34.8","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","125","3.552","36.8","36.0","26.4",".",".",".",".","0.8",".",".",".",".",".",".",".","."
"","601
001","20","3.550","30.0","55.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","21","3.476",".","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Statistical Methods I","Course Total","41","3.512","14.6","75.6","7.3","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","605
001","51","3.657","45.1","41.2","13.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","605
002","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Science Computing Project","Course Total","66","3.682","48.5","39.4","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics I","609
001","27","3.704","51.9","37.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","610
001","22","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Science Practicum","628
001","64","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","632
001","9","3.750","66.7",".","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","632
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","632
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
