"ENGR PROFESSIONAL DEVELO Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","",""
"","275","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275","002","","20","3.825","85.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","275","003","","19","3.711","78.9","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","275","004","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275","005","","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275","006","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","","Course Total","","110","3.891","90.0","4.5","3.6","0.9",".",".","0.9",".",".",".",".",".",".",".",".","."
"Quality Engr & Quality Mgmnt","518","001","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Economics & Management","611","001","","41","3.793","68.3","22.0","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","612","001","","39","3.936","87.2","12.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","613","001","","40","3.838","72.5","22.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foster and Lead Innovation","619","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Perspectives - Engine Modeling","627","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Powertrain Systems & Controls","629","001","","23","3.870","82.6","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Polymers","636","001","","12","3.682","50.0","25.0","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Polymer Characterization","637","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thermal Systems Engineering","642","001","","11","3.091","9.1","27.3","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Core Comp of Sustainability","660","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","010","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in E P D","","Course Total","","19","3.971","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professional Presentations","702","001","","19","3.895","94.7",".",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Organizational Communication","704","002","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics for Professionals","712","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Facilities","730","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
