"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","181","3.298","33.1","37.6","11.6","3.9","5.5","1.1","4.4",".",".",".",".",".","0.6",".","1.7","0.6"
"Intro Earth System","120","001","91","3.523","40.7","25.3","22.0","5.5","1.1",".",".",".",".",".",".",".",".","5.5",".","."
"Physical Systems of Envr","127","001","7","2.917","28.6",".","14.3","14.3","28.6",".",".",".",".",".",".",".",".","14.3",".","."
"Global Environmental Issues","139","001","89","3.487","46.1","15.7","15.7","5.6","3.4","2.2",".","1.1",".",".",".",".",".","9.0","1.1","."
"Digital Globe:GIScience & Tech","170","001","244","3.419","42.2","26.2","15.6","6.1","7.4","1.6",".","0.4",".",".",".",".",".",".","0.4","."
"SE Asia:Vietnam to Philipns","244","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","6","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Revolutions and Social Change","301","001","22","3.405","40.9","22.7","13.6","9.1","9.1",".",".",".",".",".",".",".",".",".","4.5","."
"Introduction to the City","305","001","121","3.614","53.7","28.1","6.6","4.1","4.1","0.8",".",".",".",".",".",".",".",".","2.5","."
"Introduction to Geopolitics","318","001","40","3.738","70.0","12.5","12.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Past Climatic Environments","335","001","13","3.269","30.8","30.8","15.4","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","9","3.222","11.1","33.3","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeography","338","001","32","4.000","84.4",".",".",".",".",".",".",".",".",".",".",".","15.6",".",".","."
"Environmental Conservation","339","001","30","3.845","83.3","6.7",".","3.3","3.3",".",".",".",".",".",".",".",".","3.3",".","."
"World Regions in Global Contxt","340","001","91","3.356","52.7","16.5","15.4","1.1","1.1","1.1","7.7","1.1",".",".",".",".","2.2",".",".","1.1"
"Native North Amer Nat Res Mgmt","345","001","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geography of Southeast Asia","358","001","9","3.389","33.3","44.4",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","370","001","30","3.426","70.0","3.3",".",".","6.7","3.3","6.7",".",".",".",".",".","10.0",".",".","."
"","370","070","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","","Course Total","39","3.569","76.9","2.6",".",".","5.1","2.6","5.1",".",".",".",".",".","7.7",".",".","."
"","377","001","47","3.340","44.7","23.4","19.1","2.1","4.3","2.1","4.3",".",".",".",".",".",".",".",".","."
"","377","070","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","","Course Total","53","3.415","50.9","20.8","17.0","1.9","3.8","1.9","3.8",".",".",".",".",".",".",".",".","."
"","378","001","31","3.517","58.1","9.7","9.7","3.2","12.9",".",".",".",".",".",".",".","6.5",".",".","."
"","378","070","20","3.525","60.0","20.0","10.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Introduction to Geocomputing","","Course Total","51","3.520","58.8","13.7","9.8","3.9","7.8",".","2.0",".",".",".",".",".","3.9",".",".","."
"US Envir Policy & Regulation","439","001","18","3.611","55.6","22.2","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","33","3.545","48.5","30.3","18.2",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"","475","001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Geography","","Course Total","20","3.921","85.0","5.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Economic Geography","510","001","14","3.071","35.7","7.1","28.6","21.4",".",".","7.1",".",".",".",".",".",".",".",".","."
"Power, Place, Identity","518","001","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Advanced Paleoecology","523","001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apps of GIS in Planning","532","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Culture and Environment","537","001","9","3.750","66.7",".","22.2",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Humid Tropics","538","001","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","35","3.868","71.4","25.7",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"History of Geographic Thought","566","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","572","001","18","3.500","38.9","16.7","22.2",".","5.6",".",".",".",".",".",".",".","16.7",".",".","."
