"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"MICROBIO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","179","2.989","15.1","16.2","46.4","9.5","8.4","3.4","1.1",".","",".",".","",".",".",".",".",".","."
"Junior","329","3.180","38.6","12.5","30.4","4.9","7.0","3.6","2.4",".","",".",".","",".",".","0.6",".",".","."
"Senior","636","3.396","45.0","18.2","23.3","5.0","6.0","1.1","0.6","0.2","",".",".","",".","0.2","0.5",".",".","."
"Undergraduates","1147","3.262","38.4","16.3","28.9","5.7","6.7","2.2","1.2","0.1","",".",".","",".","0.1","0.4",".",".","."
"Special","22","3.455","59.1",".","13.6","9.1","9.1",".",".",".","",".",".","",".",".",".",".","9.1","."
"Graduate","173","3.745","54.9","4.6","5.2","1.2",".",".",".","11.0","",".",".","",".","23.1",".",".",".","."
"Prof Yr 2","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","4","***","","","","","","","","","","",".","",".","25.0",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","8","4.000","87.5",".",".",".",".",".",".",".","",".",".","",".","12.5",".",".",".","."
